"Sgnyea","Ctnm_en","Ctnm_id","Cttyp_en","Prvcnm_id","Prvcnm_en","Eect01","Eect04"
"2005","Shijiazhuang (city)","130100","City (Sub-provincial level)","130000","Hebei (province)","961.0000","585.1200"
"2005","Tangshan (city)","130200","City (Sub-provincial level)","130000","Hebei (province)","726.0000","530.3700"
"2005","Qinhuangdao (city)","130300","City (Sub-provincial level)","130000","Hebei (province)","288.0000","370.3800"
"2005","Handan (city)","130400","City (Sub-provincial level)","130000","Hebei (province)","866.0000","722.4600"
"2005","Xingtai (city)","130500","City (Sub-provincial level)","130000","Hebei (province)","680.0000","540.6700"
"2005","Baoding (city)","130600","City (Sub-provincial level)","130000","Hebei (province)","1073.0000","530.5900"
"2005","Zhangjiakou (city)","130700","City (Sub-provincial level)","130000","Hebei (province)","418.0000","122.1200"
"2005","Chengde (city)","130800","City (Sub-provincial level)","130000","Hebei (province)","337.0000","91.3500"
"2005","Cangzhou (city)","130900","City (Sub-provincial level)","130000","Hebei (province)","684.0000","487.2600"
"2005","Langfang (city)","131000","City (Sub-provincial level)","130000","Hebei (province)","396.0000","609.0700"
"2005","Hengshui (city)","131100","City (Sub-provincial level)","130000","Hebei (province)","422.0000","473.7700"
"2005","Taiyuan (city)","140100","City (Sub-provincial level)","140000","Shanxi (province)","342.8500","487.1100"
"2005","Datong (city)","140200","City (Sub-provincial level)","140000","Shanxi (province)","311.9400","212.0000"
"2005","Yangquan (city)","140300","City (Sub-provincial level)","140000","Shanxi (province)","130.2300","275.4500"
"2005","Changzhi (city)","140400","City (Sub-provincial level)","140000","Shanxi (province)","","227.7100"
"2005","Jincheng (city)","140500","City (Sub-provincial level)","140000","Shanxi (province)","220.5400","223.2500"
"2005","Shuozhou (city)","140600","City (Sub-provincial level)","140000","Shanxi (province)","150.7200","137.1400"
"2005","Jinzhong (city)","140700","City (Sub-provincial level)","140000","Shanxi (province)","308.0300","186.9200"
"2005","Yuncheng (city)","140800","City (Sub-provincial level)","140000","Shanxi (province)","498.4800","349.8900"
"2005","Xinzhou (city)","140900","City (Sub-provincial level)","140000","Shanxi (province)","303.8800","119.1600"
"2005","Linfen (city)","141000","City (Sub-provincial level)","140000","Shanxi (province)","412.0500","203.3600"
"2005","Lvliang (city)","141100","City (Sub-provincial level)","140000","Shanxi (province)","353.0800","168.4600"
"2005","Hohhot (city)","150100","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","258.0000","123.9500"
"2005","Baotou (city)","150200","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","243.0000","75.3800"
"2005","Wuhai (city)","150300","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","46.5000","245.7800"
"2005","Chifeng (city)","150400","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","439.3000","49.4700"
"2005","Tongliao (city)","150500","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","309.5000","51.5600"
"2005","Ordos (city)","150600","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","149.5000","15.8900"
"2005","Hulunbuir (city)","150700","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","270.2000","10.6600"
"2005","Bayannur (city)","150800","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","173.2000","27.3000"
"2005","Ulanqab (city)","150900","City (Sub-provincial level)","150000","Inner Mongolia Autonomous Region","215.4000","50.0100"
"2005","Shenyang (city)","210100","City (Prefectural level)","210000","Liaoning (province)","698.6000","538.1900"
"2005","Dalian (city)","210200","City (Prefectural level)","210000","Liaoning (province)","565.3000","449.6000"
"2005","Anshan (city)","210300","City (Sub-provincial level)","210000","Liaoning (province)","347.6000","375.7500"
"2005","Fushun (city)","210400","City (Sub-provincial level)","210000","Liaoning (province)","224.4000","199.0700"
"2005","Benxi (city)","210500","City (Sub-provincial level)","210000","Liaoning (province)","156.4000","185.9500"
"2005","Dandong (city)","210600","City (Sub-provincial level)","210000","Liaoning (province)","242.4000","161.2700"
"2005","Jinzhou (city)","210700","City (Sub-provincial level)","210000","Liaoning (province)","308.3000","299.3100"
"2005","Yingkou (city)","210800","City (Sub-provincial level)","210000","Liaoning (province)","230.5000","426.7500"
"2005","Fuxin (city)","210900","City (Sub-provincial level)","210000","Liaoning (province)","192.7000","186.0700"
"2005","Liaoyang (city)","211000","City (Sub-provincial level)","210000","Liaoning (province)","182.0000","383.7400"
"2005","Panjin (city)","211100","City (Sub-provincial level)","210000","Liaoning (province)","125.9000","309.3600"
"2005","Tieling (city)","211200","City (Sub-provincial level)","210000","Liaoning (province)","302.6000","233.0900"
"2005","Chaoyang (city)","211300","City (Sub-provincial level)","210000","Liaoning (province)","338.7000","171.9600"
"2005","Huludao (city)","211400","City (Sub-provincial level)","210000","Liaoning (province)","273.7000","262.8100"
"2005","Changchun (city)","220100","City (Prefectural level)","220000","Jilin (province)","731.5000","355.6000"
"2005","Jilin (city)","220200","City (Sub-provincial level)","220000","Jilin (province)","429.4500","158.3500"
"2005","Siping (city)","220300","City (Sub-provincial level)","220000","Jilin (province)","331.8900","235.7200"
"2005","Liaoyuan (city)","220400","City (Sub-provincial level)","220000","Jilin (province)","123.3800","240.0700"
"2005","Tonghua (city)","220500","City (Sub-provincial level)","220000","Jilin (province)","226.3100","148.9400"
"2005","Baishan (city)","220600","City (Sub-provincial level)","220000","Jilin (province)","130.3000","74.5200"
"2005","Songyuan (city)","220700","City (Sub-provincial level)","220000","Jilin (province)","277.4600","131.5600"
"2005","Baicheng (city)","220800","City (Sub-provincial level)","220000","Jilin (province)","201.5600","78.3100"
"2005","Harbin (city)","230100","City (Prefectural level)","230000","Heilongjiang (province)","974.8430","183.7000"
"2005","Qiqihaer (city)","230200","City (Sub-provincial level)","230000","Heilongjiang (province)","556.9906","131.1500"
"2005","Jixi (city)","230300","City (Sub-provincial level)","230000","Heilongjiang (province)","191.3798","84.9400"
"2005","Hegang (city)","230400","City (Sub-provincial level)","230000","Heilongjiang (province)","109.8804","75.0100"
"2005","Shuangyashan (city)","230500","City (Sub-provincial level)","230000","Heilongjiang (province)","150.2230","66.8100"
"2005","Daqing (city)","230600","City (Sub-provincial level)","230000","Heilongjiang (province)","266.4100","124.6000"
"2005","Yichun (city)","230700","City (Sub-provincial level)","230000","Heilongjiang (province)","128.7905","39.3100"
"2005","Jiamusi (city)","230800","City (Sub-provincial level)","230000","Heilongjiang (province)","245.0345","74.9200"
"2005","Qitaihe (city)","230900","City (Sub-provincial level)","230000","Heilongjiang (province)","88.4339","142.1500"
"2005","Mudanjiang (city)","231000","City (Sub-provincial level)","230000","Heilongjiang (province)","266.2957","65.6200"
"2005","Heihe (city)","231100","City (Sub-provincial level)","230000","Heilongjiang (province)","174.6402","25.4100"
"2005","Suihua (city)","231200","City (Sub-provincial level)","230000","Heilongjiang (province)","561.7882","160.6700"
"2005","Shanghai (city)","310000","Municipality","310000","Shanghai (city)","1360.2600","2078.9500"
"2005","Nanjing (city)","320100","City (Prefectural level)","320000","Jiangsu (province)","595.8000","905.2000"
"2005","Wuxi (city)","320200","City (Sub-provincial level)","320000","Jiangsu (province)","452.8400","945.7800"
"2005","Xuzhou (city)","320300","City (Sub-provincial level)","320000","Jiangsu (province)","925.3100","821.9100"
"2005","Changzhou (city)","320400","City (Sub-provincial level)","320000","Jiangsu (province)","351.6300","803.7300"
"2005","Suzhou (city)","320500","City (Sub-provincial level)","320000","Jiangsu (province)","607.3100","715.4900"
"2005","Nantong (city)","320600","City (Sub-provincial level)","320000","Jiangsu (province)","770.8600","963.4500"
"2005","Lianyungang (city)","320700","City (Sub-provincial level)","320000","Jiangsu (province)","472.1800","629.5700"
"2005","Huai'an (city)","320800","City (Sub-provincial level)","320000","Jiangsu (province)","527.7700","524.0000"
"2005","Yancheng (city)","320900","City (Sub-provincial level)","320000","Jiangsu (province)","798.6700","470.5500"
"2005","Yangzhou (city)","321000","City (Sub-provincial level)","320000","Jiangsu (province)","456.3100","687.8400"
"2005","Zhenjiang (city)","321100","City (Sub-provincial level)","320000","Jiangsu (province)","267.6100","695.6300"
"2005","Taizhou (city)","321200","City (Sub-provincial level)","320000","Jiangsu (province)","502.0500","866.0500"
"2005","Suqian (city)","321300","City (Sub-provincial level)","320000","Jiangsu (province)","524.5400","613.1400"
"2005","Hangzhou (city)","330100","City (Prefectural level)","330000","Zhejiang (province)","660.4500","397.9600"
"2005","Ningbo (city)","330200","City (Prefectural level)","330000","Zhejiang (province)","556.7000","594.4500"
"2005","Wenzhou (city)","330300","City (Sub-provincial level)","330000","Zhejiang (province)","750.2800","636.6900"
"2005","Jiaxing (city)","330400","City (Sub-provincial level)","330000","Zhejiang (province)","334.3300","853.9700"
"2005","Huzhou (city)","330500","City (Sub-provincial level)","330000","Zhejiang (province)","257.5800","442.7300"
"2005","Shaoxing (city)","330600","City (Sub-provincial level)","330000","Zhejiang (province)","435.0900","527.0000"
"2005","Jinhua (city)","330700","City (Sub-provincial level)","330000","Zhejiang (province)","454.1300","415.9500"
"2005","Quzhou (city)","330800","City (Sub-provincial level)","330000","Zhejiang (province)","245.5700","277.7600"
"2005","Zhoushan (city)","330900","City (Sub-provincial level)","330000","Zhejiang (province)","96.7300","671.7400"
"2005","Taizhou (city)","331000","City (Sub-provincial level)","330000","Zhejiang (province)","559.8500","594.8900"
"2005","Lishui (city)","331100","City (Sub-provincial level)","330000","Zhejiang (province)","251.3900","145.3300"
"2005","Hefei (city)","340100","City (Sub-provincial level)","340000","Anhui (province)","455.6978","648.3100"
"2005","Wuhu (city)","340200","City (Sub-provincial level)","340000","Anhui (province)","226.8778","683.9900"
"2005","Bengbu (city)","340300","City (Sub-provincial level)","340000","Anhui (province)","349.3330","586.9100"
"2005","Huainan (city)","340400","City (Sub-provincial level)","340000","Anhui (province)","235.7750","912.1100"
"2005","Ma'anshan (city)","340500","City (Sub-provincial level)","340000","Anhui (province)","125.6449","745.2000"
"2005","Huaibei (city)","340600","City (Sub-provincial level)","340000","Anhui (province)","210.5230","768.0400"
"2005","Tongling (city)","340700","City (Sub-provincial level)","340000","Anhui (province)","72.2222","648.8800"
"2005","Anqing (city)","340800","City (Sub-provincial level)","340000","Anhui (province)","605.5158","393.2700"
"2005","Huangshan (city)","341000","City (Sub-provincial level)","340000","Anhui (province)","146.9356","149.8300"
"2005","Chuzhou (city)","341100","City (Sub-provincial level)","340000","Anhui (province)","435.6225","322.1300"
"2005","Fuyang (city)","341200","City (Sub-provincial level)","340000","Anhui (province)","932.7629","954.2300"
"2005","Suzhou (city)","341300","City (Sub-provincial level)","340000","Anhui (province)","604.5168","617.6800"
"2005","Lu'an (city)","341500","City (Sub-provincial level)","340000","Anhui (province)","681.0005","378.8400"
"2005","Bozhou (city)","341600","City (Sub-provincial level)","340000","Anhui (province)","550.1373","656.9600"
"2005","Chizhou (city)","341700","City (Sub-provincial level)","340000","Anhui (province)","156.3133","188.9600"
"2005","Xuancheng (city)","341800","City (Sub-provincial level)","340000","Anhui (province)","273.5630","221.2600"
"2005","Fuzhou (city)","350100","City (Sub-provincial level)","350000","Fujian (province)","614.8400","513.7300"
"2005","Xiamen (city)","350200","City (Prefectural level)","350000","Fujian (province)","153.2200","976.5500"
"2005","Putian (city)","350300","City (Sub-provincial level)","350000","Fujian (province)","304.8100","747.2700"
"2005","Sanming (city)","350400","City (Sub-provincial level)","350000","Fujian (province)","268.1300","116.7900"
"2005","Quanzhou (city)","350500","City (Sub-provincial level)","350000","Fujian (province)","667.6600","614.4500"
"2005","Zhangzhou (city)","350600","City (Sub-provincial level)","350000","Fujian (province)","457.3700","362.7600"
"2005","Nanping (city)","350700","City (Sub-provincial level)","350000","Fujian (province)","305.0700","116.0800"
"2005","Longyan (city)","350800","City (Sub-provincial level)","350000","Fujian (province)","286.8300","150.5700"
"2005","Ningde (city)","350900","City (Sub-provincial level)","350000","Fujian (province)","327.0300","243.1100"
"2005","Nanchang (city)","360100","City (Sub-provincial level)","360000","Jiangxi (province)","451.6138","641.9500"
"2005","Jingdezhen (city)","360200","City (Sub-provincial level)","360000","Jiangxi (province)","153.8368","286.9500"
"2005","Pingxiang (city)","360300","City (Sub-provincial level)","360000","Jiangxi (province)","182.1483","469.4800"
"2005","Jiujiang (city)","360400","City (Sub-provincial level)","360000","Jiangxi (province)","466.0965","247.6800"
"2005","Xinyu (city)","360500","City (Sub-provincial level)","360000","Jiangxi (province)","111.5888","348.4000"
"2005","Yingtan (city)","360600","City (Sub-provincial level)","360000","Jiangxi (province)","108.1962","312.7500"
"2005","Ganzhou (city)","360700","City (Sub-provincial level)","360000","Jiangxi (province)","817.9221","214.7500"
"2005","Ji'an (city)","360800","City (Sub-provincial level)","360000","Jiangxi (province)","469.6232","184.0000"
"2005","Yichun (city)","360900","City (Sub-provincial level)","360000","Jiangxi (province)","533.7554","282.9100"
"2005","Fuzhou (city)","361000","City (Sub-provincial level)","360000","Jiangxi (province)","381.3134","202.4900"
"2005","Shangrao (city)","361100","City (Sub-provincial level)","360000","Jiangxi (province)","635.1494","296.6100"
"2005","Jinan (city)","370100","City (Prefectural level)","370000","Shandong (province)","642.8800","730.6300"
"2005","Qingdao (city)","370200","City (Prefectural level)","370000","Shandong (province)","819.5500","678.3600"
"2005","Zibo (city)","370300","City (Sub-provincial level)","370000","Shandong (province)","442.4400","698.6900"
"2005","Zaozhuang (city)","370400","City (Sub-provincial level)","370000","Shandong (province)","359.8200","804.8900"
"2005","Dongying (city)","370500","City (Sub-provincial level)","370000","Shandong (province)","194.8100","227.8200"
"2005","Yantai (city)","370600","City (Sub-provincial level)","370000","Shandong (province)","693.5100","471.2500"
"2005","Weifang (city)","370700","City (Sub-provincial level)","370000","Shandong (province)","871.6200","532.4600"
"2005","Ji'ning (city)","370800","City (Sub-provincial level)","370000","Shandong (province)","781.7200","719.8300"
"2005","Tai'an (city)","370900","City (Sub-provincial level)","370000","Shandong (province)","538.6300","709.5900"
"2005","Weihai (city)","371000","City (Sub-provincial level)","370000","Shandong (province)","277.5900","458.2200"
"2005","Rizhao (city)","371100","City (Sub-provincial level)","370000","Shandong (province)","269.5400","530.5300"
"2005","Laiwu (city)","371200","City (Sub-provincial level)","370000","Shandong (province)","126.0400","553.7800"
"2005","Linyi (city)","371300","City (Sub-provincial level)","370000","Shandong (province)","973.2600","592.1600"
"2005","Dezhou (city)","371400","City (Sub-provincial level)","370000","Shandong (province)","537.5300","533.6300"
"2005","Liaocheng (city)","371500","City (Sub-provincial level)","370000","Shandong (province)","546.0700","653.4700"
"2005","Binzhou (city)","371600","City (Sub-provincial level)","370000","Shandong (province)","362.9300","393.0700"
"2005","Heze (city)","371700","City (Sub-provincial level)","370000","Shandong (province)","810.2400","723.7800"
"2005","Zhengzhou (city)","410100","City (Sub-provincial level)","410000","Henan (province)","653.4000","912.8400"
"2005","Kaifeng (city)","410200","City (Sub-provincial level)","410000","Henan (province)","477.2400","756.7800"
"2005","Luoyang (city)","410300","City (Sub-provincial level)","410000","Henan (province)","641.6900","429.8500"
"2005","Pingdingshan (city)","410400","City (Sub-provincial level)","410000","Henan (province)","493.2400","633.4100"
"2005","Anyang (city)","410500","City (Sub-provincial level)","410000","Henan (province)","533.8000","738.1400"
"2005","Hebi (city)","410600","City (Sub-provincial level)","410000","Henan (province)","143.8400","689.7300"
"2005","Xinxiang (city)","410700","City (Sub-provincial level)","410000","Henan (province)","552.3400","696.7800"
"2005","Jiaozuo (city)","410800","City (Sub-provincial level)","410000","Henan (province)","341.4800","864.7300"
"2005","Puyang (city)","410900","City (Sub-provincial level)","410000","Henan (province)","357.9300","872.0300"
"2005","Xuchang (city)","411000","City (Sub-provincial level)","410000","Henan (province)","450.5300","916.8100"
"2005","Luohe (city)","411100","City (Sub-provincial level)","410000","Henan (province)","252.8900","999.6200"
"2005","Sanmenxia (city)","411200","City (Sub-provincial level)","410000","Henan (province)","221.8100","211.9700"
"2005","Nanyang (city)","411300","City (Sub-provincial level)","410000","Henan (province)","1074.5800","408.7700"
"2005","Shangqiu (city)","411400","City (Sub-provincial level)","410000","Henan (province)","816.9000","799.3200"
"2005","Xinyang (city)","411500","City (Sub-provincial level)","410000","Henan (province)","787.5500","411.3400"
"2005","Zhoukou (city)","411600","City (Sub-provincial level)","410000","Henan (province)","1070.7700","930.2700"
"2005","Zhumadian (city)","411700","City (Sub-provincial level)","410000","Henan (province)","835.2800","556.5100"
"2005","Wuhan (city)","420100","City (Prefectural level)","420000","Hubei (province)","801.4000","943.4400"
"2005","Huangshi (city)","420200","City (Sub-provincial level)","420000","Hubei (province)","252.1000","550.1400"
"2005","Shiyan (city)","420300","City (Sub-provincial level)","420000","Hubei (province)","343.7000","145.1400"
"2005","Yichang (city)","420500","City (Sub-provincial level)","420000","Hubei (province)","398.8000","189.4600"
"2005","Xiangyang (city)","420600","City (Sub-provincial level)","420000","Hubei (province)","577.2000","292.6500"
"2005","Ezhou (city)","420700","City (Sub-provincial level)","420000","Hubei (province)","104.3000","693.6200"
"2005","Jingmen (city)","420800","City (Sub-provincial level)","420000","Hubei (province)","291.1000","234.6600"
"2005","Xiaogan (city)","420900","City (Sub-provincial level)","420000","Hubei (province)","506.0000","567.9100"
"2005","Jingzhou (city)","421000","City (Sub-provincial level)","420000","Hubei (province)","641.3000","451.4600"
"2005","Huanggang (city)","421100","City (Sub-provincial level)","420000","Hubei (province)","726.3000","416.3100"
"2005","Xianning (city)","421200","City (Sub-provincial level)","420000","Hubei (province)","276.7000","280.6200"
"2005","Suizhou (city)","421300","City (Sub-provincial level)","420000","Hubei (province)","252.7000","262.2300"
"2005","Changsha (city)","430100","City (Sub-provincial level)","430000","Hunan (province)","620.9200","525.3600"
"2005","Zhuzhou (city)","430200","City (Sub-provincial level)","430000","Hunan (province)","377.9600","330.2300"
"2005","Xiangtan (city)","430300","City (Sub-provincial level)","430000","Hunan (province)","290.6200","566.5000"
"2005","Hengyang (city)","430400","City (Sub-provincial level)","430000","Hunan (province)","722.6100","471.9900"
"2005","Shaoyang (city)","430500","City (Sub-provincial level)","430000","Hunan (province)","744.0000","357.1800"
"2005","Yueyang (city)","430600","City (Sub-provincial level)","430000","Hunan (province)","536.9000","352.5000"
"2005","Changde (city)","430700","City (Sub-provincial level)","430000","Hunan (province)","608.3400","331.1800"
"2005","Zhangjiajie (city)","430800","City (Sub-provincial level)","430000","Hunan (province)","160.1200","168.2600"
"2005","Yiyang (city)","430900","City (Sub-provincial level)","430000","Hunan (province)","460.6000","379.2800"
