CRE_Cmect,,,,,,,
年度标识,AreaID,县域名称,隶属城市,隶属省份,土地面积,年末总人口,地区生产总值
2000,20407164,仁和区,攀枝花市,四川省,,,144325.00
2000,20407165,米易县,攀枝花市,四川省,,,87116.00
2000,20407166,盐边县,攀枝花市,四川省,,,124718.00
2000,20407169,江阳区,泸州市,四川省,,,473966.00
2000,20407170,纳溪区,泸州市,四川省,,,197969.00
2000,20407171,龙马潭区,泸州市,四川省,,,150994.00
2000,20407172,泸县,泸州市,四川省,,,306627.00
2000,20407246,合江县,泸州市,四川省,,,252095.00
2000,20407247,叙永县,泸州市,四川省,,,136495.00
2000,20407248,古蔺县,泸州市,四川省,,,139875.00
2000,20407251,旌阳区,德阳市,四川省,,,570947.00
2000,20407252,中江县,德阳市,四川省,,,480290.00
2000,20407253,罗江县,德阳市,四川省,,,110050.00
2000,20407254,广汉市,德阳市,四川省,,,475230.00
2000,20407255,什邡市,德阳市,四川省,,,510149.00
2000,20407256,绵竹市,德阳市,四川省,,,514205.00
2000,20407259,涪城区,绵阳市,四川省,,,1238321.00
2000,20407260,游仙区,绵阳市,四川省,,,222874.00
2000,20407261,三台县,绵阳市,四川省,,,472994.00
2000,20407262,盐亭县,绵阳市,四川省,,,199089.00
2000,20407263,安县,绵阳市,四川省,,,216666.00
2000,20407264,梓潼县,绵阳市,四川省,,,138734.00
2000,20407265,北川羌族自治县,绵阳市,四川省,,,50505.00
2000,20407266,平武县,绵阳市,四川省,,,51780.00
2000,20407267,江油市,绵阳市,四川省,,,656910.00
2000,20407270,利州区,广元市,四川省,,,228432.00
2000,20407343,昭化区,广元市,四川省,,,58007.00
2000,20407344,朝天区,广元市,四川省,,,37918.00
2000,20407345,旺苍县,广元市,四川省,,,146576.00
2000,20407346,青川县,广元市,四川省,,,64029.00
2000,20407347,剑阁县,广元市,四川省,,,142425.00
2000,20407348,苍溪县,广元市,四川省,,,159725.00
2000,20408026,市中区,遂宁市,四川省,,,488304.00
2000,20407353,蓬溪县,遂宁市,四川省,,,162155.00
2000,20407354,射洪县,遂宁市,四川省,,,416253.00
2000,20407355,大英县,遂宁市,四川省,,,140136.00
2000,20406680,市中区,内江市,四川省,,,315368.00
2000,20406681,东兴区,内江市,四川省,,,211148.00
2000,20406682,威远县,内江市,四川省,,,296566.00
2000,20406683,资中县,内江市,四川省,,,313938.00
2000,20406684,隆昌县,内江市,四川省,,,289117.00
2000,20406687,市中区,乐山市,四川省,,,319883.00
2000,20406688,沙湾区,乐山市,四川省,,,106948.00
2000,20406689,五通桥区,乐山市,四川省,,,153599.00
2000,20406690,金口河区,乐山市,四川省,,,33051.00
2000,20406691,犍为县,乐山市,四川省,,,168530.00
2000,20406692,井研县,乐山市,四川省,,,116728.00
2000,20406693,夹江县,乐山市,四川省,,,156309.00
2000,20406694,沐川县,乐山市,四川省,,,94815.00
2000,20406695,峨边彝族自治县,乐山市,四川省,,,52010.00
2000,20406696,马边彝族自治县,乐山市,四川省,,,33777.00
2000,20406697,峨眉山市,乐山市,四川省,,,235919.00
2000,20406504,顺庆区,南充市,四川省,,,393995.00
2000,20406505,高坪区,南充市,四川省,,,152910.00
2000,20406506,嘉陵区,南充市,四川省,,,133799.00
2000,20406507,南部县,南充市,四川省,,,350234.00
2000,20406508,营山县,南充市,四川省,,,162400.00
2000,20406509,蓬安县,南充市,四川省,,,161917.00
2000,20406510,仪陇县,南充市,四川省,,,151389.00
2000,20406511,西充县,南充市,四川省,,,120392.00
2000,20406512,阆中市,南充市,四川省,,,201881.00
2000,20406515,东坡区,眉山市,四川省,,,396143.00
2000,20406516,仁寿县,眉山市,四川省,,,421615.00
2000,20406517,彭山县,眉山市,四川省,,,178530.00
2000,20406518,洪雅县,眉山市,四川省,,,109700.00
2000,20406519,丹棱县,眉山市,四川省,,,52153.00
2000,20406520,青神县,眉山市,四川省,,,79207.00
2000,20406523,翠屏区,宜宾市,四川省,,,724307.00
2000,20406525,宜宾县,宜宾市,四川省,,,313783.00
2000,20406524,南溪区,宜宾市,四川省,,,116796.00
2000,20406526,江安县,宜宾市,四川省,,,121392.00
2000,20406527,长宁县,宜宾市,四川省,,,140621.00
2000,20406528,高县,宜宾市,四川省,,,122068.00
2000,20406529,珙县,宜宾市,四川省,,,112526.00
2000,20406530,筠连县,宜宾市,四川省,,,85301.00
2000,20406531,兴文县,宜宾市,四川省,,,90808.00
2000,20406532,屏山县,宜宾市,四川省,,,67870.00
2000,20406535,广安区,广安市,四川省,,,323557.00
2000,20406536,岳池县,广安市,四川省,,,256133.00
2000,20406537,武胜县,广安市,四川省,,,220070.00
2000,20406538,邻水县,广安市,四川省,,,243971.00
2000,20406539,华蓥市,广安市,四川省,,,207137.00
2000,20406542,通川区,达州市,四川省,,,257150.00
2000,20406543,达川区,达州市,四川省,,,368798.00
2000,20406544,宣汉县,达州市,四川省,,,286176.00
2000,20406545,开江县,达州市,四川省,,,155934.00
2000,20406546,大竹县,达州市,四川省,,,403183.00
2000,20406547,渠县,达州市,四川省,,,284263.00
2000,20406548,万源市,达州市,四川省,,,136094.00
2000,20406551,雨城区,雅安市,四川省,,,239042.00
2000,20406552,名山区,雅安市,四川省,,,85468.00
2000,20406553,荥经县,雅安市,四川省,,,90244.00
2000,20406554,汉源县,雅安市,四川省,,,99266.00
2000,20406555,石棉县,雅安市,四川省,,,93579.00
2000,20406556,天全县,雅安市,四川省,,,90836.00
2000,20406557,芦山县,雅安市,四川省,,,48489.00
2000,20406558,宝兴县,雅安市,四川省,,,47283.00
2000,20406561,巴州区,巴中市,四川省,,,354508.00
2000,20407358,通江县,巴中市,四川省,,,146970.00
2000,20407359,南江县,巴中市,四川省,,,145080.00
2000,20407360,平昌县,巴中市,四川省,,,170970.00
2000,20407363,雁江区,资阳市,四川省,,,427002.00
2000,20407364,安岳县,资阳市,四川省,,,320111.00
2000,20407365,乐至县,资阳市,四川省,,,225900.00
2000,20407366,简阳市,资阳市,四川省,,,452733.00
2000,20407442,汶川县,阿坝藏族羌族自治州,四川省,,,99475.00
2000,20407443,理县,阿坝藏族羌族自治州,四川省,,,21885.00
2000,20407444,茂县,阿坝藏族羌族自治州,四川省,,,33076.00
2000,20407445,松潘县,阿坝藏族羌族自治州,四川省,,,24562.00
2000,20407446,九寨沟县,阿坝藏族羌族自治州,四川省,,,43152.00
2000,20407447,金川县,阿坝藏族羌族自治州,四川省,,,12522.00
2000,20407448,小金县,阿坝藏族羌族自治州,四川省,,,15300.00
2000,20407449,黑水县,阿坝藏族羌族自治州,四川省,,,12255.00
2000,20407450,马尔康县,阿坝藏族羌族自治州,四川省,,,28768.00
2000,20407451,壤塘县,阿坝藏族羌族自治州,四川省,,,9953.00
2000,20407452,阿坝县,阿坝藏族羌族自治州,四川省,,,16813.00
2000,20407453,若尔盖县,阿坝藏族羌族自治州,四川省,,,21779.00
2000,20407454,红原县,阿坝藏族羌族自治州,四川省,,,15868.00
2000,20407456,康定县,甘孜藏族自治州,四川省,,,80748.00
2000,20407457,泸定县,甘孜藏族自治州,四川省,,,19057.00
2000,20406999,丹巴县,甘孜藏族自治州,四川省,,,11038.00
2000,20407000,九龙县,甘孜藏族自治州,四川省,,,11241.00
2000,20407001,雅江县,甘孜藏族自治州,四川省,,,6737.00
2000,20407076,道孚县,甘孜藏族自治州,四川省,,,10669.00
2000,20407077,炉霍县,甘孜藏族自治州,四川省,,,8037.00
2000,20407078,甘孜县,甘孜藏族自治州,四川省,,,11897.00
2000,20407079,新龙县,甘孜藏族自治州,四川省,,,9658.00
2000,20407080,德格县,甘孜藏族自治州,四川省,,,11182.00
2000,20407081,白玉县,甘孜藏族自治州,四川省,,,8265.00
2000,20407082,石渠县,甘孜藏族自治州,四川省,,,10356.00
2000,20407083,色达县,甘孜藏族自治州,四川省,,,7475.00
2000,20407084,理塘县,甘孜藏族自治州,四川省,,,10437.00
2000,20407085,巴塘县,甘孜藏族自治州,四川省,,,9919.00
2000,20407086,乡城县,甘孜藏族自治州,四川省,,,6726.00
2000,20407087,稻城县,甘孜藏族自治州,四川省,,,6226.00
2000,20407088,得荣县,甘孜藏族自治州,四川省,,,5246.00
2000,20407090,西昌市,凉山彝族自治州,四川省,,,417001.00
2000,20407091,木里藏族自治县,凉山彝族自治州,四川省,,,22652.00
2000,20407092,盐源县,凉山彝族自治州,四川省,,,55583.00
2000,20407093,德昌县,凉山彝族自治州,四川省,,,71057.00
2000,20407094,会理县,凉山彝族自治州,四川省,,,196910.00
