CRE_Gdp01(Merge Query)
年度标识,省份编码,省份名称,地区生产总值,人均地区生产总值,年底人口数,地区进出口总额,地区出口总额,地区进口总额,外资企业年底注册数量,外资企业投资总额,外资企业注册资本
2022,350000,福建省,53109.9000,126829.0000,4188.0000,29739000.0000,18205000.0000,11534000.0000,33062.0000,3940.0000,2813.0000
2022,110000,北京市,41610.9000,190313.0000,2184.0000,54609000.0000,8809000.0000,45800000.0000,34426.0000,7540.0000,5171.0000
2022,320000,江苏省,122875.6000,144390.0000,8515.0000,81431000.0000,51932000.0000,29499000.0000,65078.0000,14916.0000,8826.0000
2022,150000,内蒙古自治区,23158.6000,96474.0000,2401.0000,2253000.0000,919000.0000,1333000.0000,3186.0000,506.0000,243.0000
2022,140000,山西省,25642.6000,73675.0000,3481.0000,2751000.0000,1802000.0000,949000.0000,3780.0000,617.0000,617.0000
2022,370000,山东省,87435.1000,86003.0000,10163.0000,48286000.0000,28836000.0000,19450000.0000,37099.0000,25517.0000,19692.0000
2022,530000,云南省,28954.2000,61716.0000,4693.0000,4857000.0000,2296000.0000,2561000.0000,6322.0000,2369.0000,1487.0000
2022,410000,河南省,61345.1000,62106.0000,9872.0000,12711000.0000,7808000.0000,4902000.0000,10217.0000,1030.0000,743.0000
2022,310000,上海市,44652.8000,179907.0000,2475.0000,62581000.0000,25585000.0000,36996000.0000,98408.0000,12559.0000,8308.0000
2022,330000,浙江省,77715.4000,118496.0000,6577.0000,70330000.0000,51591000.0000,18739000.0000,46944.0000,7069.0000,4826.0000
2022,610000,陕西省,32772.7000,82864.0000,3956.0000,7148000.0000,4472000.0000,2677000.0000,7392.0000,2005.0000,1053.0000
2022,220000,吉林省,13070.2000,55347.0000,2348.0000,2339000.0000,752000.0000,1587000.0000,4221.0000,1264.0000,774.0000
2022,420000,湖北省,53734.9000,92059.0000,5844.0000,9210000.0000,6259000.0000,2950000.0000,13230.0000,2528.0000,1740.0000
2022,540000,西藏自治区,2132.6000,58438.0000,364.0000,69000.0000,65000.0000,4000.0000,288.0000,27.0000,21.0000
2022,130000,河北省,42370.4000,56995.0000,7420.0000,8239000.0000,4928000.0000,3311000.0000,10494.0000,2667.0000,1446.0000
2022,520000,贵州省,20164.6000,52321.0000,3856.0000,1085000.0000,682000.0000,403000.0000,3582.0000,2147.0000,1661.0000
2022,340000,安徽省,45045.0000,73603.0000,6127.0000,11309000.0000,7134000.0000,4175000.0000,8407.0000,3387.0000,1656.0000
2022,230000,黑龙江省,15901.0000,51096.0000,3099.0000,3969000.0000,813000.0000,3156000.0000,5853.0000,1798.0000,1581.0000
2022,640000,宁夏回族自治区,5069.6000,69781.0000,728.0000,322000.0000,242000.0000,80000.0000,865.0000,304.0000,159.0000
2022,210000,辽宁省,28975.1000,68775.0000,4197.0000,11866000.0000,5369000.0000,6496000.0000,16309.0000,5171.0000,2706.0000
2022,650000,新疆维吾尔自治区,17741.3000,68552.0000,2587.0000,3660000.0000,3104000.0000,556000.0000,1959.0000,616.0000,360.0000
2022,430000,湖南省,48670.4000,73598.0000,6604.0000,10509000.0000,7686000.0000,2824000.0000,12599.0000,2464.0000,1345.0000
2022,440000,广东省,129118.6000,101905.0000,12657.0000,124550000.0000,79905000.0000,44645000.0000,189439.0000,24141.0000,11363.0000
2022,620000,甘肃省,11201.6000,44968.0000,2492.0000,858000.0000,180000.0000,678000.0000,2037.0000,410.0000,333.0000
2021,460000,海南省,6475.2000,63707.0000,1020.4600,2275000.0000,507000.0000,1768000.0000,6071.0000,45272.3326,39657.7054
2021,650000,新疆维吾尔自治区,15983.6469,61725.0000,2589.0000,2430000.0000,1970000.0000,460000.0000,1965.0000,568.0594,266.0640
2021,120000,天津市,15695.0458,113732.0000,1373.0000,13257000.0000,5997000.0000,7260000.0000,15021.0000,10216.7259,2599.4803
2021,320000,江苏省,116364.2000,137039.0000,8505.4000,80647000.0000,50346000.0000,30301000.0000,64643.0000,14308.5978,8057.8962
2021,610000,陕西省,29800.9793,75360.0000,3954.0000,7356000.0000,3969000.0000,3387000.0000,7082.0000,1954.9024,1008.5290
2021,410000,河南省,58887.4053,59410.0000,9883.0000,12701000.0000,7778000.0000,4923000.0000,10307.0000,1051.5432,749.5408
2021,360000,江西省,29619.6730,65560.0000,4517.4033,7701000.0000,5677000.0000,2024000.0000,7033.0000,1517.9629,1044.3940
2021,330000,浙江省,73515.7577,113032.0000,6540.0000,64093000.0000,46610000.0000,17483000.0000,45922.0000,6673.2222,4518.8029
2021,510000,四川省,53850.7900,64326.0000,8372.0000,14743000.0000,8841000.0000,5902000.0000,14733.0000,2385.6723,1187.6352
2021,370000,山东省,83095.9000,81727.0000,10170.0000,45387000.0000,27184000.0000,18203000.0000,36756.0000,16328.0515,10665.2039
2021,350000,福建省,48810.3558,116939.0000,4187.0000,28525000.0000,16734000.0000,11791000.0000,32450.0000,3371.5497,2192.1577
2021,500000,重庆市,27894.0200,86879.0000,3414.6568,12382000.0000,8000000.0000,4382000.0000,6873.0000,1335.2877,877.8722
2021,450000,广西壮族自治区,24740.8600,49206.0000,5733.0000,9172000.0000,4545000.0000,4627000.0000,7028.0000,9005.5139,1195.2513
2021,220000,吉林省,13235.5152,55450.0000,2375.3700,2325000.0000,547000.0000,1778000.0000,4250.0000,1437.5456,1154.4536
2021,310000,上海市,43214.8500,173630.0000,2489.4300,62852000.0000,24323000.0000,38529000.0000,97342.0000,12155.3662,8065.0841
2021,530000,云南省,27146.7644,57686.0000,4690.0000,4868000.0000,2734000.0000,2134000.0000,6130.0000,1641.3695,824.0491
2021,110000,北京市,40269.5500,183980.0000,2188.6000,47100000.0000,9471000.0000,37629000.0000,34079.0000,7171.8060,4784.8703
2021,130000,河北省,40391.2700,54172.0000,7448.0000,8385000.0000,4690000.0000,3695000.0000,10187.0000,2353.8115,1143.1602
2021,150000,内蒙古自治区,20514.1947,85422.0000,2400.0000,1914000.0000,740000.0000,1174000.0000,3200.0000,606.1543,237.3822
2021,140000,山西省,22590.1608,64821.0000,3480.4800,3453000.0000,2114000.0000,1339000.0000,3730.0000,890.3882,661.4451
2021,340000,安徽省,42959.1753,70321.0000,6113.0000,10700000.0000,6337000.0000,4363000.0000,8490.0000,3247.6547,2362.9032
2021,520000,贵州省,19586.4224,50808.0000,3852.0000,1013000.0000,754000.0000,259000.0000,3488.0000,945.6017,509.2595
2021,540000,西藏自治区,2080.1728,56831.0000,366.0100,62000.0000,35000.0000,27000.0000,300.0000,27.3333,20.9779
2021,630000,青海省,3346.6341,56398.0000,594.0000,49000.0000,26000.0000,23000.0000,734.0000,101.9876,56.4634
2021,142,中国,1149236.9786,81369.9750,141260.0000,,,,,,
2021,620000,甘肃省,10243.3051,41046.0000,2490.0157,761000.0000,150000.0000,611000.0000,2396.0000,418.0826,330.0404
2021,440000,广东省,124369.6716,98285.0000,12684.0000,127957000.0000,78186000.0000,49771000.0000,185553.0000,23284.7080,10723.7736
2021,430000,湖南省,46063.0863,69440.0000,7246.2579,9240000.0000,6520000.0000,2720000.0000,11698.0000,2357.1460,1254.6549
2021,230000,黑龙江省,14879.1900,47266.0000,3125.0000,3086000.0000,693000.0000,2393000.0000,5888.0000,1734.0098,1519.5748
2021,420000,湖北省,50012.9369,86416.0000,5830.0000,8308000.0000,5430000.0000,2878000.0000,12940.0000,2326.9891,1561.8466
2021,640000,宁夏回族自治区,4522.3088,62549.0000,725.0000,332000.0000,271000.0000,61000.0000,910.0000,279.5622,135.2058
2021,210000,辽宁省,27584.0750,65026.0000,4229.0000,11946000.0000,5125000.0000,6821000.0000,16363.0000,4602.6427,2598.3053
2020,640000,宁夏回族自治区,3920.5500,54527.8200,720.9319,178244.6307,125148.2195,53096.4112,899.0000,269.9276,128.8565
2020,460000,海南省,5532.3900,55130.9400,1012.3400,1358683.0504,402400.3051,956282.7453,4234.0000,27449.5595,23013.5202
2020,650000,新疆维吾尔自治区,13797.5800,53593.2400,2590.0000,2137381.1215,1583039.9754,554341.1461,1994.0000,320.4221,267.2638
2020,430000,湖南省,41781.4900,62900.2500,6645.3900,7068446.1738,4782423.2295,2286022.9443,10715.0000,2149.0575,1067.2448
2020,230000,黑龙江省,13698.5000,42634.6100,3171.0000,2223092.0779,519069.9829,1704022.0950,6278.0000,1685.5786,1539.2563
2020,450000,广西壮族自治区,22156.6900,44308.9500,5019.0000,7041405.0180,3917505.3593,3123899.6587,6577.0000,2893.8916,770.1833
2020,500000,重庆市,25002.7900,78170.3600,3208.9300,9418110.4436,6052582.9658,3365527.4778,6719.0000,1238.9523,774.3350
