"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元","备注",
"502","美国","24012010","部分或全部去梗的烤烟","42973346","千克","0","?","419,945,948","-",
"502","美国","84089093","其他输出功率≥132.39kw的压燃活塞内燃机","14434","台","19622017","千克","419,061,272","-",
"502","美国","29012100","乙烯","473999946","千克","0","?","415,384,064","-",
"502","美国","25061000","石英","72540291","千克","0","?","414,854,670","-",
"502","美国","84862010","制半导体器件或IC的氧化扩散等热处理设备","207","台","752338","千克","412,033,123","-",
"502","美国","98050000","个人跨境电商商品","10159927","千克","12359613","件","398,677,508","-",
"502","美国","84219990","品目8421未列名机器的零件","5858034","千克","0","?","394,913,997","-",
"502","美国","08025100","未去壳阿月浑子果(开心果)","62958669","千克","0","?","392,275,337","-",
"502","美国","49070090","承认国流通新发行未用的其他票证；所有凭证","654","千克","0","?","384,262,414","-",
"502","美国","05040029","其他动物的胃","57898065","千克","0","?","372,731,572","-",
"502","美国","23091090","其他零售包装的狗食或猫食饲料","54911077","千克","0","?","371,537,496","-",
"502","美国","39269090","未列名塑料制品","7873095","千克","0","?","371,394,680","-",
"502","美国","84862041","制造半导体器件或IC的等离子体干法刻蚀机","366","台","940236","千克","365,131,733","-",
"502","美国","90279000","检镜切片机；9027所列仪器及装置的零附件","1041828","千克","0","?","346,411,284","-",
"502","美国","85371090","其他电气控制或电力分配盘板台等，电压≤1000V","3956252","个","1222811","千克","345,357,118","-",
"502","美国","76020000","铝废料及碎料","165448689","千克","0","?","343,320,043","-",
"502","美国","27111390","其他液化丁烷","545885488","千克","0","?","341,796,692","-",
"502","美国","87036032","同时装有点燃式活塞内燃发动机及驱动电动机的主要用于载人的越野车（4轮驱动），1500cc＜排量≤2000cc，可接插外部电源充电","5894","辆","15218797","千克","341,615,911","-",
"502","美国","27131110","未煅烧石油焦，含硫量＜3%","1210600920","千克","0","?","341,367,538","-",
"502","美国","39209990","未列名非泡沫塑料板、片、膜、箔及扁条","7728580","千克","0","?","340,541,022","-",
"502","美国","39079999","未列名初级形状的聚酯","75492979","千克","0","?","336,860,111","-",
"502","美国","39199090","未列名塑料胶粘板、片、膜、箔等","6196518","千克","0","?","332,223,406","-",
"502","美国","84335920","棉花采摘机","466","台","13727495","千克","316,662,144","-",
"502","美国","84818040","其他阀门","26769104","套","2420111","千克","316,289,336","-",
"502","美国","44039960","北美硬阔叶木原木","498395076","千克","514481","立方米","316,099,651","-",
"502","美国","47020000","化学木浆、溶解级","261345537","千克","0","?","315,070,016","-",
"502","美国","90314990","其他测量或检验用光学仪器及器具","302749","台","523051","千克","312,193,251","-",
"502","美国","44079100","栎木(橡木)木材，经纵锯、纵切、刨切或旋切，厚＞6mm","390598869","千克","522684","立方米","307,375,685","-",
"502","美国","70031900","其他铸制或轧制的非夹丝的玻璃板、片","21161432","千克","4011600","平方米","306,849,688","-",
"502","美国","29333990","未列名结构上含有一个非稠合吡啶环的化合物","4423932","千克","0","?","301,764,938","-",
"502","美国","90213900","其他人造的人体部分","124502","千克","1663515","个","300,745,001","-",
"502","美国","10019900","其他小麦及混合麦，种用除外","856954821","千克","0","?","294,519,933","-",
"502","美国","87082990","车身（包括驾驶室）的未列名零件、附件","30406376","千克","0","?","292,998,508","-",
"502","美国","25309020","稀土金属矿","66248685","千克","0","?","289,825,914","-",
"502","美国","37024292","未曝光红色或红外激光胶片，宽＞610mm，长＞200m","13577276","千克","53519354","平方米","277,083,980","-",
"502","美国","02013000","鲜或冷的去骨牛肉","17943417","千克","0","?","273,110,147","-",
"502","美国","90132000","激光器，激光二极管除外","53436","个","296281","千克","268,257,874","-",
"502","美国","90223000","X射线管","19878","个","504439","千克","266,611,642","-",
"502","美国","38151900","其他载体催化剂","12873160","千克","0","?","264,445,013","-",
"502","美国","87084091","品目87.03所列车辆用自动换挡变速箱及其零件","25278413","个","10414321","千克","256,567,158","-",
"502","美国","88072000","起落架及其零件","665850","千克","0","?","246,180,962","-",
"502","美国","85234920","已录制用于重放声音、图像以外信息的，品目84.71所列机器用光学媒体","76056","张","5678","千克","245,862,291","-",
"502","美国","90185000","眼科用其他仪器及器具","828086","千克","0","?","244,620,302","-",
"502","美国","04041000","乳清及改性乳清，不论是否浓缩、加糖或其他甜物质","307051088","千克","0","?","244,229,629","-",
"502","美国","90229090","X光发生器等、检查用家具等；9022设备零件","713029","个","685215","千克","243,436,467","-",
"502","美国","85416000","已装配的压电晶体","3371774840","个","42360","千克","242,041,414","-",
"502","美国","90319000","品目9031所列仪器、器具及机器的零件及附件","393885","千克","0","?","240,929,819","-",
"502","美国","75051200","镍合金条、杆、型材及异型材","5368673","千克","0","?","237,636,905","-",
"502","美国","84862022","制造半导体器件或IC的物理气相沉积装置","180","台","672227","千克","233,406,234","-",
"502","美国","85369011","工作电压不超过36伏的接插件","2319438","千克","0","?","232,253,307","-",
"502","美国","48041100","未漂白牛皮挂面板纸","472099774","千克","0","?","231,307,713","-",
"502","美国","90278190","其他质谱仪","3967","台","376773","千克","230,209,135","-",
"502","美国","30042090","未列名含有抗菌素的药品，已配定剂量或制成零售包装","3161367","千克","0","?","220,138,195","-",
"502","美国","84862090","其他制半导体器件或集成电路用的机器及装置","425","台","400073","千克","219,970,540","-",
"502","美国","70091000","车辆后视镜","2357025","千克","0","?","219,952,869","-",
"502","美国","39269010","塑料制机器及仪器用零件","1363784","千克","0","?","213,732,233","-",
"502","美国","20081999","未列名制作或保藏的坚果及其他子仁","26728376","千克","0","?","213,528,057","-",
"502","美国","84212990","未列名液体过滤、净化机器及装置","22359728","个","1713152","千克","212,539,347","-",
"502","美国","44079930","经纵锯切、刨或旋切的北美硬阔叶木材，厚＞6mm","147196608","千克","242581","立方米","212,415,693","-",
