"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","84713090","其他重量不超过10千克的便携式自动数据处理设备","67721161","台","139609983","千克","33,834,282,094",
"502","美国","85171210","手持（包括车载）式无线电话机","99479594","台","31221760","千克","32,207,350,565",
"502","美国","63079000","6301至6307的未列名制成品，包括服装裁剪样","582599690","千克","49357529482","?","14,804,569,423",
"502","美国","84713010","平板电脑","37279623","台","24162626","千克","8,437,424,874",
"502","美国","85176299","其他接收、转换并且发送或再生声音、图像或其他数据用的设备","92199781","台","33510938","千克","6,406,063,822",
"502","美国","98040000","低值简易通关商品","3359647848","千克","5380392","?","5,000,386,827",
"502","美国","84733090","品目8471所列其他机器的零件、附件","122701941","千克","0","?","4,719,680,127",
"502","美国","39269090","未列名塑料制品","733350804","千克","0","?","4,373,907,765",
"502","美国","94054090","未列名电灯及照明装置","372696331","千克","0","?","4,246,599,905",
"502","美国","95030089","未列名玩具及模型","5343963286","个","515469810","千克","4,061,989,859",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","633957979","台","77743088","千克","3,817,668,485",
"502","美国","85176294","无线耳机、无线耳塞","120573251","个","18253706","千克","3,415,967,636",
"502","美国","39181090","氯乙烯聚合物制铺地制品","2931627257","千克","0","?","3,201,127,898",
"502","美国","94032000","其他金属家具","106285997","件","1138079202","千克","2,942,476,450",
"502","美国","85285212","其他可直接连接品目84.71的自动数据处理设备的彩色液晶监视器","27100932","台","150522824","千克","2,920,453,018",
"502","美国","95051000","圣诞节用品","266492077","千克","0","?","2,767,095,293",
"502","美国","62101030","化纤毡呢或无纺织物制服装","1779606523","件","167792443","千克","2,696,241,640",
"502","美国","94051000","枝形吊灯及天花板或墙壁上的电气照明装置","176128431","个","229702375","千克","2,512,992,789",
"502","美国","85076000","锂离子蓄电池","169451530","个","78537011","千克","2,485,867,225",
"502","美国","84717010","硬盘驱动器","11403760","台","2603195","千克","2,423,576,998",
"502","美国","95045019","与电视接收机配套使用的视频游戏控制器及设备","6791240","台","26655869","千克","2,394,496,936",
