"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","85171300","智能手机","107168772","台","30298647","千克","41,957,166,586",
"502","美国","84713090","其他重量不超过10千克的便携式自动数据处理设备","55398415","台","119418591","千克","34,317,385,397",
"502","美国","84713010","平板电脑","43384168","台","27036753","千克","10,695,526,962",
"502","美国","85076000","锂离子蓄电池","254015289","个","451546689","千克","10,115,802,661",
"502","美国","98040000","低值简易通关商品","13279538175","千克","55633430","?","9,966,209,831",
"502","美国","95030089","未列名玩具及模型","7443379312","个","622441944","千克","6,056,617,881",
"502","美国","39269090","未列名塑料制品","828311949","千克","0","?","5,808,835,832",
"502","美国","95045030","其他视频游戏控制器及设备","19823189","台","64283891","千克","5,663,380,374",
"502","美国","84733090","品目8471所列其他机器的零件、附件","93374214","千克","0","?","5,606,790,080",
"502","美国","85176299","其他接收、转换并且发送或再生声音、图像或其他数据用的设备","124220277","台","34990532","千克","5,510,286,752",
"502","美国","95051000","圣诞节用品","311812124","千克","0","?","5,188,167,924",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","152364566","台","52498986","千克","4,738,787,754",
"502","美国","85285212","其他可直接连接品目84.71的自动数据处理设备的彩色液晶监视器","30469427","台","176777236","千克","4,246,066,371",
"502","美国","85176294","无线耳机、无线耳塞","107312054","个","16678585","千克","3,752,636,910",
"502","美国","64041990","橡胶或塑料制外底，纺织材料制鞋面的其他鞋靴","231501830","千克","436200332","双","3,720,386,640",
"502","美国","39241000","塑料制餐具及厨房用具","887194377","千克","0","?","3,673,908,576",
"502","美国","94032000","其他金属家具","100712675","件","1115815797","千克","3,594,177,829",
"502","美国","61103000","化纤制针织钩编套头衫、开襟衫、外穿背心等","487559215","件","169117512","千克","3,178,530,775",
"502","美国","39181090","氯乙烯聚合物制铺地制品","2519087891","千克","0","?","2,996,200,232",
"502","美国","64029929","未列名塑料制鞋面的鞋靴","207112965","千克","462405401","双","2,933,778,478",
"502","美国","63079090","第一分章的未列名制成品，包括服装裁剪样","367301616","千克","3818374133","个","2,535,057,066",
"502","美国","94054290","非光伏的且设计为仅使用发光二极管（LED）光源的其他电灯及照明装置","144510265","千克","0","?","2,450,715,149",
"502","美国","42029200","以塑料片或纺织材料作面的其他类似容器","226912780","千克","1278324513","个","2,447,890,950",
"502","美国","73269090","未列名非工业用钢铁制品","572920243","千克","0","?","2,431,235,744",
"502","美国","24041200","其他含尼古丁的非经燃烧吸用的产品","47493633","千克","0","?","2,359,423,766",
"502","美国","94036099","未列名木家具","56930540","件","766506491","千克","2,333,972,395",
"502","美国","95059000","其他节日或娱乐用品，包括魔术道具等","155260091","千克","0","?","2,281,747,981",
"502","美国","85098090","其他家用电动器具","184714225","台","163542017","千克","2,259,920,819",
"502","美国","94054990","其他电气灯具及照明装置","171472529","千克","0","?","2,189,932,141",
"502","美国","99000000","跨境电商B2B简化申报商品","47698540","千克","4799945","?","2,187,083,935",
"502","美国","39249000","塑料制其他家庭用具及卫生或盥洗用具","376263232","千克","0","?","2,116,688,667",
"502","美国","94017190","其他带软垫的金属框架坐具","47828212","个","400604855","千克","2,084,446,327",
"502","美国","94016190","其他带软垫的木框架坐具","22296770","个","471738693","千克","2,059,520,588",
"502","美国","85044099","未列名静止式变流器","221259339","个","52687686","千克","1,926,005,088",
"502","美国","62046200","棉制女裤","256221016","条","112485188","千克","1,911,578,067",
"502","美国","42021290","以塑料或纺织材料作面的提箱、小手袋、公文箱、公文包、书包及类似容器","236575935","千克","332333123","个","1,911,511,307",
"502","美国","64039900","其他橡、塑或再生皮革外底，皮革鞋面的鞋靴","86659516","千克","109700679","双","1,807,468,970",
"502","美国","67042000","人发制假发，胡须，眉毛，睫毛及其他人发制品","5051289","千克","0","?","1,807,410,309",
"502","美国","87087091","铝合金制的未列名机动车辆用车轮及其零件、附件","302509284","千克","0","?","1,800,321,755",
"502","美国","61102000","棉制针织钩编的套头衫、开襟衫、外穿背心等","247964533","件","96393916","千克","1,796,594,163",
"502","美国","39264000","塑料制小雕塑品及其他装饰品","203488964","千克","0","?","1,754,206,902",
"502","美国","84717011","固态硬盘(SSD)","7588493","台","463202","千克","1,720,160,816",
"502","美国","38221900","其他附于衬背上的诊断或实验用试剂及不论是否附于衬背上的配制试剂","46266771","千克","0","?","1,698,501,793",
"502","美国","94051900","其他枝形吊灯及天花板或墙壁上的电气照明装置","65085328","个","101597246","千克","1,692,960,610",
"502","美国","94017900","其他金属框架坐具","109271828","个","457849721","千克","1,683,402,195",
"502","美国","95030021","玩具动物","935025350","个","143964909","千克","1,673,261,228",
"502","美国","87083099","未列名机动车辆用其他制动器及其零件","862169318","千克","432379901","个","1,662,553,039",
"502","美国","85285910","其他彩色监视器","6661900","台","40220817","千克","1,616,636,945",
"502","美国","95030083","带动力装置的其他玩具及模型","164068171","个","93195920","千克","1,609,082,818",
"502","美国","87082990","车身（包括驾驶室）的未列名零件、附件","164625008","千克","0","?","1,579,357,369",
"502","美国","95069990","未列名运动或户外游戏用品及设备；游泳池或戏水池","150472545","个","356999512","千克","1,566,182,740",
"502","美国","95030060","智力玩具","539193224","套","211640722","千克","1,564,963,782",
"502","美国","85081100","电动真空吸尘器功率≤1500W集尘器容积≤20L","35982914","台","144024370","千克","1,556,941,709",
"502","美国","87116000","装有驱动电动机的摩托车及脚踏车","5471941","辆","90779056","千克","1,552,094,309",
"502","美国","84715040","微型机的处理部件","3663570","台","7438982","千克","1,534,281,514",
"502","美国","90191010","按摩器具","151131477","台","136916278","千克","1,523,718,549",
"502","美国","84818040","其他阀门","251383326","套","158543735","千克","1,505,006,271",
"502","美国","85177950","光通信设备的激光收发模块","733204","千克","0","?","1,495,492,938",
"502","美国","67021000","塑料制人造花、叶、果实及其零件和制品","75920005","千克","0","?","1,439,497,147",
"502","美国","84818090","龙头、旋塞及类似装置","97957563","套","72537662","千克","1,414,728,259",
"502","美国","73089000","其他钢铁结构体；钢结构体用部件及加工钢材","575189890","千克","0","?","1,406,707,741",
"502","美国","85371090","其他电气控制或电力分配盘板台等，电压≤1000V","63279568","个","26323517","千克","1,389,192,917",
"502","美国","94049040","化纤棉填充的其他寝具及类似用品","242513244","千克","0","?","1,389,083,978",
"502","美国","84314999","品目8426、8429及8430所列机械的未列名零件","464452437","千克","0","?","1,381,460,020",
"502","美国","95045020","自带视频显示装置的视频游戏控制器及设备","6352258","台","11508877","千克","1,368,713,344",
