"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","85171210","手持（包括车载）式无线电话机","113597522","台","0","?","34,676,116,134",
"502","美国","84713090","其他重量不超过10千克的便携式自动数据处理设备","49407736","台","0","?","27,629,251,122",
"502","美国","84733090","品目8471所列其他机器的零件、附件","115480269","千克","0","?","11,905,209,883",
"502","美国","84713010","平板电脑","34970352","台","0","?","7,568,040,138",
"502","美国","85176299","其他接收、转换并且发送或再生声音、图像或其他数据用的设备","108094694","台","0","?","6,258,307,881",
"502","美国","84715040","微型机的处理部件","8809106","台","0","?","3,729,188,826",
"502","美国","95030089","未列名玩具及模型","6208436202","个","518762500","千克","3,582,078,605",
"502","美国","64041990","橡胶或塑料制外底，纺织材料制鞋面的其他鞋靴","252465427","千克","502612537","双","3,542,287,598",
"502","美国","94054090","未列名电灯及照明装置","347860773","千克","0","?","3,537,218,115",
"502","美国","39269090","未列名塑料制品","614133175","千克","0","?","3,188,157,605",
"502","美国","94032000","其他金属家具","116176901","件","1245854867","千克","3,045,602,456",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","307432685","台","0","?","3,023,305,880",
"502","美国","94036099","未列名木家具","63369248","件","1016712053","千克","2,944,112,221",
"502","美国","85287222","液晶显示器彩色数字电视接收机","18623710","台","0","?","2,897,189,223",
"502","美国","39181090","氯乙烯聚合物制铺地制品","2156999916","千克","0","?","2,818,046,286",
"502","美国","84717010","硬盘驱动器","19043684","台","0","?","2,809,208,108",
"502","美国","94016190","其他带软垫的木框架坐具","29292445","个","702892190","千克","2,697,772,325",
"502","美国","85285212","其他可直接连接品目84.71的自动数据处理设备的彩色液晶监视器","23309058","台","131377776","千克","2,676,752,822",
"502","美国","95045019","与电视接收机配套使用的视频游戏控制器及设备","17013086","台","34069570","千克","2,515,508,999",
"502","美国","61103000","化纤制针织钩编套头衫、开襟衫、外穿背心等","443534047","件","149199328","千克","2,507,957,500",
"502","美国","62046200","棉制女裤","382938132","条","150662379","千克","2,456,990,344",
"502","美国","87087091","铝合金制的未列名机动车辆用车轮及其零件、附件","480322825","千克","0","?","2,411,238,098",
"502","美国","64039900","其他橡、塑或再生皮革外底，皮革鞋面的鞋靴","124556771","千克","170630862","双","2,375,484,319",
"502","美国","94051000","枝形吊灯及天花板或墙壁上的电气照明装置","188680530","个","246385638","千克","2,333,430,536",
"502","美国","63079000","6301至6307的未列名制成品，包括服装裁剪样","365130743","千克","0","?","2,125,465,257",
"502","美国","39241000","塑料制餐具及厨房用具","600381145","千克","0","?","2,122,988,738",
"502","美国","64029929","未列名塑料制鞋面的鞋靴","181645232","千克","428341123","双","2,113,209,775",
"502","美国","42021290","以塑料或纺织材料作面的提箱、小手袋、公文箱、公文包、书包及类似容器","297211785","千克","358033253","个","2,064,107,805",
"502","美国","85176294","无线耳机、无线耳塞","78535067","个","0","?","2,051,744,827",
"502","美国","61102000","棉制针织钩编的套头衫、开襟衫、外穿背心等","323733174","件","115567554","千克","1,995,207,810",
"502","美国","95045099","其他视频游戏控制器及设备","10697633","台","18515792","千克","1,894,141,867",
"502","美国","42029200","以塑料片或纺织材料作面的其他类似容器","215945274","千克","1141448394","个","1,874,101,818",
"502","美国","95051000","圣诞节用品","236052610","千克","0","?","1,872,776,733",
"502","美国","71131911","镶嵌钻石的黄金制首饰及其零件","13785744","克","0","?","1,842,886,817",
"502","美国","85395000","发光二极管（LED）灯泡（管）","1190522961","只","98937432","千克","1,767,559,894",
"502","美国","85081100","电动真空吸尘器功率≤1500W集尘器容积≤20L","44362743","台","212543922","千克","1,742,035,142",
"502","美国","84714940","系统形式的微型机","1396290","台","0","?","1,701,875,073",
"502","美国","86090029","其他40英尺集装箱","451586","个","0","?","1,683,193,235",
"502","美国","94049040","化纤棉填充的其他寝具及类似用品","314579427","千克","0","?","1,655,803,737",
"502","美国","84672990","其他手提式电动工具","35384990","台","0","?","1,651,790,381",
"502","美国","85371090","其他电气控制或电力分配盘板台等，电压≤1000V","104780637","个","30503779","千克","1,619,592,170",
"502","美国","87082990","车身（包括驾驶室）的未列名零件、附件","183934570","千克","0","?","1,575,898,022",
"502","美国","73269090","未列名非工业用钢铁制品","515595264","千克","0","?","1,569,217,904",
"502","美国","40112000","客车或货运机动车辆用新的充气橡胶轮胎","633191573","千克","22947918","条","1,545,190,204",
"502","美国","84818040","其他阀门","248283884","套","205735624","千克","1,528,226,710",
"502","美国","84433110","有打复印及传真两种及以上功能静电感光机器","1828725","台","86002618","千克","1,524,834,019",
"502","美国","85285910","其他彩色监视器","5234941","台","0","?","1,476,073,811",
"502","美国","94016110","皮革或再生皮革面的带软垫的木框架坐具","6129387","个","279873826","千克","1,450,425,130",
"502","美国","98040000","低值简易通关商品","333199232050","千克","0","?","1,445,388,742",
"502","美国","94034000","厨房用木家具","27888344","件","516024240","千克","1,445,079,637",
"502","美国","85076000","锂离子蓄电池","140666023","个","0","?","1,442,964,229",
"502","美国","85287221","液晶显示器彩色模拟电视接收机","7585383","台","0","?","1,439,168,164",
"502","美国","85176234","调制解调器","23116936","台","0","?","1,419,886,098",
"502","美国","94017190","其他带软垫的金属框架坐具","42246285","个","345848710","千克","1,397,612,031",
"502","美国","94039000","家具的零件","553155345","千克","0","?","1,368,525,135",
"502","美国","87083099","未列名机动车辆用其他制动器及其零件","788253663","千克","542518601","个","1,345,948,207",
"502","美国","94017900","其他金属框架坐具","102433919","个","440328155","千克","1,343,270,135",
"502","美国","84151010","独立窗式、壁式、置于天花板或地板上的空气调节器","10667077","台","279292605","千克","1,340,517,298",
"502","美国","85166090","其他电炉；电锅、电热板、加热环、烧烤炉等","49339902","个","0","?","1,338,539,213",
"502","美国","85044099","未列名静止式变流器","253167386","个","0","?","1,336,991,864",
"502","美国","85182200","多喇叭音箱","38158466","个","0","?","1,329,393,258",
"502","美国","94052000","电气的台灯、床头灯或落地灯","65917561","台","138485101","千克","1,306,176,942",
