"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","85171210","手持（包括车载）式无线电话机","99208946","台","0","?","30,535,904,971",
"502","美国","84713090","其他重量不超过10千克的便携式自动数据处理设备","50968189","台","105711083","千克","27,540,160,060",
"502","美国","84713010","平板电脑","37398945","台","22601841","千克","8,041,815,199",
"502","美国","85176299","其他接收、转换并且发送或再生声音、图像或其他数据用的设备","100637672","台","0","?","6,316,637,925",
"502","美国","84733090","品目8471所列其他机器的零件、附件","113523472","千克","0","?","5,195,053,491",
"502","美国","85176294","无线耳机、无线耳塞","117623008","个","0","?","4,434,940,748",
"502","美国","95030089","未列名玩具及模型","5869865639","个","531636615","千克","3,901,426,174",
"502","美国","39269090","未列名塑料制品","651147218","千克","0","?","3,495,835,880",
"502","美国","64041990","橡胶或塑料制外底，纺织材料制鞋面的其他鞋靴","233409967","千克","457445826","双","3,311,097,031",
"502","美国","94054090","未列名电灯及照明装置","318925016","千克","0","?","3,233,713,577",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","325638828","台","0","?","2,827,559,497",
"502","美国","39181090","氯乙烯聚合物制铺地制品","2305949650","千克","0","?","2,708,939,838",
"502","美国","61103000","化纤制针织钩编套头衫、开襟衫、外穿背心等","479835114","件","165892086","千克","2,682,619,363",
"502","美国","94032000","其他金属家具","96400681","件","1076924095","千克","2,674,419,202",
"502","美国","85285212","其他可直接连接品目84.71的自动数据处理设备的彩色液晶监视器","24495778","台","139063294","千克","2,664,706,661",
"502","美国","98040000","低值简易通关商品","175369486184","千克","2698301","?","2,508,631,991",
"502","美国","84717010","硬盘驱动器","14830469","台","1662663","千克","2,346,183,655",
"502","美国","39241000","塑料制餐具及厨房用具","636330880","千克","0","?","2,190,241,500",
"502","美国","95051000","圣诞节用品","262917163","千克","0","?","2,179,009,273",
"502","美国","63079000","6301至6307的未列名制成品，包括服装裁剪样","368795159","千克","0","?","2,128,320,471",
"502","美国","94036099","未列名木家具","49796444","件","755187227","千克","2,127,625,463",
"502","美国","64039900","其他橡、塑或再生皮革外底，皮革鞋面的鞋靴","111802446","千克","150091246","双","2,110,234,936",
"502","美国","94016190","其他带软垫的木框架坐具","23751665","个","564143094","千克","2,061,972,039",
"502","美国","94051000","枝形吊灯及天花板或墙壁上的电气照明装置","162082114","个","216946665","千克","2,043,604,121",
"502","美国","64029929","未列名塑料制鞋面的鞋靴","178356534","千克","417003396","双","2,026,983,371",
"502","美国","62046200","棉制女裤","304492542","条","124318626","千克","1,998,001,489",
"502","美国","95045019","与电视接收机配套使用的视频游戏控制器及设备","8133240","台","23902660","千克","1,881,863,805",
"502","美国","85076000","锂离子蓄电池","170853809","个","0","?","1,866,589,592",
"502","美国","85287222","液晶显示器彩色数字电视接收机","12106140","台","0","?","1,863,809,677",
"502","美国","84672990","其他手提式电动工具","37452869","台","113121247","千克","1,824,930,021",
"502","美国","94049040","化纤棉填充的其他寝具及类似用品","358094060","千克","0","?","1,797,743,634",
"502","美国","61102000","棉制针织钩编的套头衫、开襟衫、外穿背心等","286999423","件","105097079","千克","1,775,678,104",
"502","美国","87087091","铝合金制的未列名机动车辆用车轮及其零件、附件","366864385","千克","0","?","1,747,877,353",
"502","美国","85285910","其他彩色监视器","6121503","台","0","?","1,628,939,327",
"502","美国","42029200","以塑料片或纺织材料作面的其他类似容器","191884755","千克","968484385","个","1,613,101,328",
"502","美国","85371090","其他电气控制或电力分配盘板台等，电压≤1000V","90072123","个","30701162","千克","1,560,823,317",
"502","美国","85395000","发光二极管（LED）灯泡（管）","1071030273","只","88348027","千克","1,518,936,706",
"502","美国","42021290","以塑料或纺织材料作面的提箱、小手袋、公文箱、公文包、书包及类似容器","224430416","千克","285839891","个","1,479,817,839",
"502","美国","84714940","系统形式的微型机","1394154","台","14664779","千克","1,471,244,787",
"502","美国","87082990","车身（包括驾驶室）的未列名零件、附件","177989613","千克","0","?","1,428,911,326",
"502","美国","85081100","电动真空吸尘器功率≤1500W集尘器容积≤20L","38168995","台","174234706","千克","1,388,383,973",
"502","美国","85166090","其他电炉；电锅、电热板、加热环、烧烤炉等","49503151","个","0","?","1,346,271,708",
"502","美国","85182200","多喇叭音箱","34542897","个","0","?","1,304,791,519",
"502","美国","98050000","-","55709289","-","219194681","-","1,298,551,814",
"502","美国","85098090","其他家用电动器具","143430636","台","137629400","千克","1,271,583,272",
"502","美国","94017190","其他带软垫的金属框架坐具","40232519","个","308578664","千克","1,271,485,292",
"502","美国","73269090","未列名非工业用钢铁制品","385862901","千克","0","?","1,265,973,305",
"502","美国","61159600","合成纤维制其他袜","3371863382","双","119021028","千克","1,236,518,492",
"502","美国","84433110","有打复印及传真两种及以上功能静电感光机器","1341549","台","68736109","千克","1,220,348,938",
"502","美国","85287221","液晶显示器彩色模拟电视接收机","6832675","台","0","?","1,215,058,034",
"502","美国","39249000","塑料制其他家庭用具及卫生或盥洗用具","274886196","千克","0","?","1,200,046,238",
"502","美国","94052000","电气的台灯、床头灯或落地灯","57991347","台","120137531","千克","1,188,617,025",
"502","美国","87083099","未列名机动车辆用其他制动器及其零件","717435005","千克","468160534","个","1,176,715,538",
"502","美国","84818040","其他阀门","218263365","套","154156710","千克","1,175,817,031",
"502","美国","94017900","其他金属框架坐具","89433967","个","375580751","千克","1,161,034,924",
"502","美国","85176239","未列名有线数字通讯设备","22986013","台","0","?","1,141,570,776",
"502","美国","71131911","镶嵌钻石的黄金制首饰及其零件","8840673","克","0","?","1,130,656,185",
"502","美国","94039000","家具的零件","444188379","千克","0","?","1,098,865,288",
"502","美国","84439990","品目8443所列设备用其他零件及附件","66389730","千克","0","?","1,083,505,137",
"502","美国","85044099","未列名静止式变流器","189512215","个","0","?","1,075,750,107",
"502","美国","85165000","微波炉","16812204","个","0","?","1,054,026,470",
"502","美国","95030021","玩具动物","717157118","个","100433260","千克","1,052,249,138",
"502","美国","84714140","微型自动数据处理机","2665430","台","13235590","千克","1,042,498,718",
"502","美国","94016110","皮革或再生皮革面的带软垫的木框架坐具","4635580","个","200519605","千克","1,036,379,630",
"502","美国","63014000","合成纤维制毯子及旅行毯","250726542","条","217167284","千克","1,034,503,379",
"502","美国","85439090","品目8543所列其他设备及装置的零件","15626709","千克","0","?","1,021,193,633",
"502","美国","85258013","非特种用途的其他类型电视摄像机","27631122","台","0","?","1,008,024,981",
"502","美国","84715040","微型机的处理部件","3317105","台","5008232","千克","994,122,402",
"502","美国","84151010","独立窗式、壁式、置于天花板或地板上的空气调节器","7693227","台","201530561","千克","981,913,089",
"502","美国","87089999","品目8701至8704所列其他车辆用未列名零、附件","171242624","千克","0","?","973,522,021",
"502","美国","95030083","带动力装置的其他玩具及模型","116889075","个","75872573","千克","968,641,872",
"502","美国","84314999","品目8426、8429及8430所列机械的未列名零件","364655318","千克","0","?","961,615,360",
"502","美国","95069900","其他运动或户外游戏用设备；游泳池或戏水池","177612191","个","288229203","千克","958,389,608",
"502","美国","84818090","龙头、旋塞及类似装置","98764684","套","64928004","千克","944,772,976",
"502","美国","85177090","品目8517所列设备用其他零件","25003820","千克","0","?","943,502,433",
"502","美国","95069119","其他健身及康复器械","388190907","千克","0","?","926,896,883",
"502","美国","95030060","智力玩具","445827560","套","175625247","千克","915,810,026",
"502","美国","39264000","塑料制小雕塑品及其他装饰品","171479777","千克","0","?","909,014,527",
"502","美国","69101000","瓷制固定卫生设备","421633668","千克","25030015","件","902,642,775",
"502","美国","69111019","其他瓷制餐具","325704231","千克","0","?","900,141,227",
"502","美国","95059000","其他节日或娱乐用品，包括魔术道具等","92884442","千克","0","?","891,183,112",
"502","美国","85182100","单喇叭音箱","50931165","个","0","?","887,826,377",
"502","美国","95045099","其他视频游戏控制器及设备","6472212","台","15500269","千克","857,921,206",
"502","美国","73211100","用气体等燃料的钢铁制家用炊事器具及加热板","274103291","千克","10987061","个","846,325,857",
"502","美国","90191010","按摩器具","79463894","台","116826900","千克","839,401,191",
"502","美国","61091000","棉制针织或钩编的Ｔ恤衫、汗衫、背心","303219775","件","45855322","千克","835,665,294",
"502","美国","85177060","光通信设备的激光收发模块","497977","千克","0","?","833,872,134",
"502","美国","94034000","厨房用木家具","16847828","件","304424746","千克","830,441,284",
"502","美国","61099090","未列名纺材制针织或钩编Ｔ恤衫、汗衫、背心","298034212","件","47130396","千克","815,503,306",
"502","美国","96170019","其他带壳的保温瓶","196585529","个","73878762","千克","799,871,636",
"502","美国","27101911","航空煤油，不含有生物柴油","1148606614","千克","1431163851","升","795,176,886",
"502","美国","88033000","飞机及直升机的其他零件","2130143","千克","0","?","780,137,925",
"502","美国","84718000","自动数据处理设备的其他部件","11394444","台","8138406","千克","778,233,475",
"502","美国","62034290","棉制其他男裤","107898027","条","52925619","千克","768,073,302",
"502","美国","44219990","未列名木制品","423310424","千克","0","?","760,482,930",
"502","美国","73089000","其他钢铁结构体；钢结构体用部件及加工钢材","425780479","千克","0","?","754,804,723",
"502","美国","61046300","合成纤维制针织或钩编的女裤","267938083","条","58838112","千克","753,380,205",
"502","美国","84819010","阀门零件","100573490","千克","0","?","751,852,273",
"502","美国","42022200","以塑料片或纺织材料作面的手提包","77191977","千克","311045872","个","751,155,493",
"502","美国","94013000","可调高度的转动坐具","18427148","个","244434390","千克","750,354,053",
"502","美国","62114390","化纤制其他女式服装","156469410","件","34243720","千克","747,169,194",
"502","美国","65050099","针织的帽类及用成匹的花边、毡呢或其他纺织物制成的帽类","2536633780","个","45751824","千克","731,681,391",
"502","美国","63039200","合纤非针织或钩编的窗帘、帐幔、帘帷及床帷","126677442","千克","0","?","727,218,743",
"502","美国","67042000","人发制假发，胡须，眉毛，睫毛及其他人发制品","3405793","千克","0","?","724,288,381",
"502","美国","63023290","化纤制未列名非针织或钩编床上用织物制品","508392989","条","129371107","千克","718,866,039",
"502","美国","84145110","输出功率≤125瓦的吊扇","20892791","台","158652086","千克","716,185,765",
"502","美国","73239300","不锈钢制餐桌、厨房或其他家用器具及其零件","104432272","千克","0","?","710,645,245",
"502","美国","84159090","84151022、84152000、84158120、84158220及84158300设备的零件","93315833","千克","0","?","710,414,935",
"502","美国","85167990","未列名电热器具","117153358","个","0","?","691,673,556",
"502","美国","84099199","其他点燃式活塞内燃发动机的零件","91276267","千克","0","?","690,428,809",
"502","美国","73239900","其他未搪瓷钢铁餐桌、厨房等家用器具及零件","132008900","千克","0","?","683,517,709",
"502","美国","87116000","装有驱动电动机的摩托车及脚踏车","4938200","辆","56502820","千克","682,686,057",
"502","美国","84834090","齿轮及其他变速、传动装置；滚珠螺杆传动轴","28424698","个","113832923","千克","678,482,084",
"502","美国","85444211","有接头电缆，额定电压≤80V","36469460","千克","671702283","米","669,277,915",
