"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","94052900","其他电气的台灯、床头灯或落地灯","43840269","台","88585937","千克","1,203,767,652",
"502","美国","71131911","镶嵌钻石的黄金制首饰及其零件","6175261","克","0","?","1,203,445,302",
"502","美国","94049040","化纤棉填充的其他寝具及类似用品","219605156","千克","0","?","1,189,150,528",
"502","美国","61046300","合成纤维制针织或钩编的女裤","331250855","条","80925509","千克","1,175,369,686",
"502","美国","85371090","其他电气控制或电力分配盘板台等，电压≤1000V","49686877","个","20736521","千克","1,166,026,916",
"502","美国","73089000","其他钢铁结构体；钢结构体用部件及加工钢材","551075373","千克","0","?","1,146,577,134",
"502","美国","95045020","自带视频显示装置的视频游戏控制器及设备","6269660","台","9362604","千克","1,140,204,920",
"502","美国","85167990","未列名电热器具","137067561","个","111520160","千克","1,138,076,449",
"502","美国","84314999","品目8426、8429及8430所列机械的未列名零件","373809150","千克","0","?","1,115,398,023",
"502","美国","95069990","未列名运动或户外游戏用品及设备；游泳池或戏水池","102027152","个","245539830","千克","1,115,037,282",
"502","美国","87032343","仅装有点燃式活塞内燃发动机的小客车（9座及以下），1500cc＜排量≤2000cc","51302","辆","89963022","千克","1,111,965,288",
"502","美国","61099090","未列名纺材制针织或钩编Ｔ恤衫、汗衫、背心","375899800","件","61796840","千克","1,109,418,647",
"502","美国","85166090","其他电炉；电锅、电热板、加热环、烧烤炉等","40356336","个","217392029","千克","1,051,990,309",
"502","美国","84159090","84151022、84152000、84158120、84158220及84158300设备的零件","128909406","千克","0","?","1,043,670,394",
"502","美国","95069190","未列名一般体育活动、体操或竞技用品及设备","260910037","千克","0","?","1,035,856,197",
"502","美国","84672990","其他手提式电动工具","20589188","台","58538423","千克","1,022,977,651",
"502","美国","84717011","固态硬盘(SSD)","7332244","台","530589","千克","1,019,562,103",
"502","美国","61143000","化纤制针织或钩编的其他服装","201231023","件","57589205","千克","994,612,713",
"502","美国","85182200","多喇叭音箱","20838801","个","76973420","千克","977,746,936",
"502","美国","76151090","其他铝制餐桌、厨房或其他家用器具及其零件","167916315","千克","0","?","976,412,911",
"502","美国","62044300","合成纤维制女式连衣裙","91271827","件","35012073","千克","959,143,336",
"502","美国","84715040","微型机的处理部件","3053440","台","5613441","千克","958,937,659",
"502","美国","69111019","其他瓷制餐具","301399766","千克","0","?","958,282,206",
"502","美国","84099199","其他点燃式活塞内燃发动机的零件","98995340","千克","0","?","950,126,156",
"502","美国","44219990","未列名木制品","396451233","千克","0","?","926,960,332",
"502","美国","96170019","其他保温瓶","188071644","个","83182309","千克","895,482,699",
"502","美国","65050099","针织的帽类及用成匹的花边、毡呢或其他纺织物制成的帽类","2074261472","个","47819062","千克","893,806,557",
"502","美国","85258919","非特种用途的其他类型电视摄像机","24585958","台","12767879","千克","893,095,986",
"502","美国","85395210","发光二极管（LED）灯泡","996260757","只","45963128","千克","890,908,648",
"502","美国","84716071","键盘","46854015","个","28774085","千克","884,654,299",
"502","美国","73239900","其他未搪瓷钢铁餐桌、厨房等家用器具及零件","146659441","千克","0","?","875,212,109",
"502","美国","63039200","合纤非针织或钩编的窗帘、帐幔、帘帷及床帷","132309086","千克","0","?","867,247,783",
"502","美国","61044300","合成纤维制针织或钩编的女式连衣裙","136926019","件","46586976","千克","864,519,490",
"502","美国","61091000","棉制针织或钩编的Ｔ恤衫、汗衫、背心","319389162","件","48533492","千克","862,979,379",
"502","美国","70099200","已镶框玻璃镜","168926798","千克","0","?","835,099,148",
"502","美国","84714940","系统形式的微型机","1255856","台","11047546","千克","830,409,166",
"502","美国","73211100","用气体等燃料的钢铁制家用炊事器具及加热板","247313455","千克","9841065","个","825,269,709",
"502","美国","76169990","其他非工业用铝制品","99505198","千克","0","?","822,557,772",
"502","美国","27101911","航空煤油，不含有生物柴油","924224818","千克","1151584122","升","819,912,094",
"502","美国","84819010","阀门零件","89692114","千克","0","?","818,931,338",
"502","美国","42022200","以塑料片或纺织材料作面的手提包","64535456","千克","256357155","个","818,236,188",
"502","美国","84798999","未列名具有独立功能的机器及机械器具","12898349","台","86864755","千克","817,334,556",
"502","美国","84145110","输出功率≤125瓦的吊扇","19340339","台","135120140","千克","816,112,619",
"502","美国","85094090","食品研磨机及搅拌器","59539686","台","88397059","千克","809,581,648",
"502","美国","63023290","化纤制未列名非针织或钩编床上用织物制品","518522814","条","137273058","千克","800,080,168",
"502","美国","39232100","供运输或包装货物用的乙烯聚合物制袋及包","255371060","千克","0","?","796,982,521",
"502","美国","85366900","插头及插座，线路电压≤1000V","358197982","个","44385361","千克","796,763,253",
"502","美国","87088010","品目8703所列车辆用悬挂系统及零件（含减震器）","165300091","千克","0","?","795,846,807",
"502","美国","94044040","化纤棉填充的被子、床罩","158581040","千克","135165794","件","783,328,715",
"502","美国","94013900","非木制可调高度的转动坐具","17302095","个","216610047","千克","778,294,762",
"502","美国","69101000","瓷制固定卫生设备","412094183","千克","23932826","件","777,951,105",
"502","美国","95030029","玩偶，不论是否着装","265087146","个","47130712","千克","773,962,182",
"502","美国","15180000","化学改性动植物或微生物油脂等，但品目1516的产品除外；混合制非食用油脂等","834104678","千克","0","?","770,515,405",
"502","美国","85434000","电子烟及类似的个人电子雾化设备","258423902","台","9164799","千克","769,806,289",
"502","美国","30049090","未列名混合或非混合产品构成的药品，已配定剂量或制成零售包装","10463774","千克","0","?","757,390,454",
"502","美国","84119100","涡轮喷气发动机或涡轮螺桨发动机的零件","647442","千克","0","?","756,578,193",
"502","美国","84439990","品目8443所列设备用其他零件及附件","38901148","千克","0","?","755,774,184",
"502","美国","94018090","其他坐具","30372125","个","130178313","千克","752,669,269",
"502","美国","94035099","其他卧室用木家具","9883936","件","282363649","千克","749,259,826",
"502","美国","85183000","耳机、耳塞（无线耳机、耳塞除外），不论是否装有传声器，由传声器及一个或多个扬声器组成的组合机","233085362","个","16817025","千克","747,847,228",
