"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","88072000","起落架及其零件","811506","千克","0","?","337,829,207",
"502","美国","23091090","其他零售包装的狗食或猫食饲料","52020352","千克","0","?","337,194,541",
"502","美国","90279000","检镜切片机；9027所列仪器及装置的零附件","1188623","千克","0","?","335,343,724",
"502","美国","84219990","品目8421未列名机器的零件","4708404","千克","0","?","331,378,267",
"502","美国","84862041","制造半导体器件或IC的等离子体干法刻蚀机","206","台","765397","千克","331,132,743",
"502","美国","84818040","其他阀门","21296900","套","2187663","千克","327,671,545",
"502","美国","20081999","未列名制作或保藏的坚果及其他子仁","39671768","千克","0","?","321,073,263",
"502","美国","70031900","其他铸制或轧制的非夹丝的玻璃板、片","19302543","千克","4160236","平方米","318,165,390",
"502","美国","90219090","其他为弥补生理缺陷或残疾而穿戴、携带或植入人体内的其他器具","79242","千克","0","?","315,678,165",
"502","美国","02013000","鲜或冷的去骨牛肉","19669622","千克","0","?","313,733,354",
"502","美国","44079100","栎木(橡木)木材，经纵锯、纵切、刨切或旋切，厚＞6mm","350051108","千克","476220","立方米","312,519,528",
"502","美国","27131110","未煅烧石油焦，含硫量＜3%","1915188576","千克","0","?","308,123,153",
"502","美国","39199090","未列名塑料胶粘板、片、膜、箔等","6122528","千克","0","?","305,524,618",
"502","美国","71131921","镶嵌钻石的铂制首饰及其零件","134796","克","0","?","299,525,799",
"502","美国","85416000","已装配的压电晶体","3570036673","个","57602","千克","295,814,252",
"502","美国","48041100","未漂白牛皮挂面板纸","572478009","千克","0","?","291,298,723",
"502","美国","90185000","眼科用其他仪器及器具","912305","千克","0","?","290,316,935",
"502","美国","84715020","小型机的处理部件","1499","台","152610","千克","282,315,179",
"502","美国","90132000","激光器，激光二极管除外","29201","个","296560","千克","276,526,026",
"502","美国","27101220","石脑油，不含有生物柴油","372364416","千克","515724716","升","275,187,431",
"502","美国","84089093","其他输出功率≥132.39kw的压燃活塞内燃机","8826","台","12162524","千克","273,837,488",
"502","美国","76020000","铝废料及碎料","135283204","千克","0","?","273,233,658",
"502","美国","38151900","其他载体催化剂","13683629","千克","0","?","272,902,363",
"502","美国","90314990","其他测量或检验用光学仪器及器具","178258","台","453111","千克","264,824,952",
