"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","85423190","其他用作处理器及控制器的集成电路","9167065247","个","329770","千克","11,408,957,473",
"502","美国","12019010","黄大豆，种用除外","16943742156","千克","0","?","6,682,215,259",
"502","美国","88024020","空载重量＞45000kg的飞机等航空器","34","架","4169099","千克","4,451,325,187",
"502","美国","27090000","石油原油及从沥青矿物提取的原油","6348670724","千克","0","?","3,318,056,182",
"502","美国","87032362","仅装有点燃往复式活塞内燃发动机的越野车（4轮驱动），2500cc＜排量≤3000cc","50860","辆","114719254","千克","3,137,176,039",
"502","美国","84111210","涡轮风扇喷气发动机，推力＞25kN","264","台","0","?","2,250,265,927",
"502","美国","87038000","仅装有驱动电动机的主要用于载人的机动车","47011","辆","90073946","千克","2,196,544,826",
"502","美国","87032342","仅装有点燃往复式活塞内燃发动机的越野车（4轮驱动），1500cc＜排量≤2000cc","45545","辆","92663874","千克","2,015,719,272",
"502","美国","84119100","涡轮喷气发动机或涡轮螺桨发动机的零件","1623068","千克","0","?","1,975,896,856",
"502","美国","30021500","免疫制品，已配定剂量或制成零售包装","1078336","千克","0","?","1,638,210,330",
"502","美国","88024010","15000kg＜空载重量≤45000kg的飞机等航空器","41","架","1511629","千克","1,549,000,807",
"502","美国","84869099","品目8486所列设备用未列名零件及附件","1995214","千克","0","?","1,503,789,130",
"502","美国","85423990","其他集成电路","21469992687","个","128796","千克","1,318,305,074",
"502","美国","33049900","其他美容品或化妆品及护肤品","13143931","千克","213620083","件","1,149,572,150",
"502","美国","47032100","半漂白或漂白的针叶木烧碱木浆或硫酸盐木浆","1397170516","千克","0","?","956,382,215",
"502","美国","38249999","未列名化学工业及其相关工业的化学产品及配制品","119370003","千克","0","?","889,353,145",
"502","美国","84862041","制造半导体器件或IC的等离子体干法刻蚀机","468","台","1638030","千克","822,066,404",
"502","美国","30049090","未列名混合或非混合产品构成的药品，已配定剂量或制成零售包装","998643","千克","0","?","803,492,812",
"502","美国","90183900","其他针、导管、插管及类似品","659221233","个","3366743","千克","787,395,153",
"502","美国","47071000","回收（废碎）的未漂白牛皮纸或瓦楞纸及纸板","4074375647","千克","0","?","753,606,486",
"502","美国","52010000","未梳的棉花","359979281","千克","0","?","730,617,291",
"502","美国","21069090","未列名食品","22202153","千克","0","?","713,168,419",
"502","美国","88033000","飞机及直升机的其他零件","839746","千克","0","?","690,665,035",
"502","美国","38220090","其他诊断或实验用试剂及配制试剂；检定参照物","3024221","千克","0","?","690,205,373",
"502","美国","90318090","未列名测量或检验仪器、器具及机器","13931191","台","0","?","667,574,453",
"502","美国","90189099","其他医疗、外科或兽医用仪器及器具","142991789","台","1732002","千克","642,384,335",
"502","美国","29269090","未列名腈基化合物","224722263","千克","0","?","606,980,356",
"502","美国","90275000","使用光学射线的其他仪器及装置","188603","台","0","?","580,384,416",
"502","美国","90328990","其他自动调节或控制仪器及装置","2620200","台","404","?","576,985,908",
"502","美国","98050000","-","21261126","-","22584136","-","535,456,969",
