"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","85171300","智能手机","93087700","台","28304415","千克","35,150,011,258",
"502","美国","84713090","其他重量不超过10千克的便携式自动数据处理设备","45261476","台","98917628","千克","25,274,825,304",
"502","美国","98040000","低值简易通关商品","7402141283","千克","61436904","?","22,928,946,770",
"502","美国","85076000","锂离子蓄电池","189073241","个","922759933","千克","15,313,475,834",
"502","美国","84713010","平板电脑","29288714","台","20363949","千克","7,132,818,911",
"502","美国","39269090","未列名塑料制品","988824331","千克","0","?","5,546,869,500",
"502","美国","95030089","未列名玩具及模型","6496757690","个","640257595","千克","4,900,847,936",
"502","美国","84733090","品目8471所列其他机器的零件、附件","98371401","千克","0","?","4,287,883,869",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","137282287","台","65286937","千克","3,900,278,037",
"502","美国","39241000","塑料制餐具及厨房用具","996650155","千克","0","?","3,325,885,313",
"502","美国","85176294","无线耳机、无线耳塞","122629019","个","24619653","千克","3,267,622,404",
"502","美国","85285212","其他可直接连接品目84.71的自动数据处理设备的彩色液晶监视器","25288592","台","149206345","千克","3,080,321,955",
"502","美国","94032000","其他金属家具","109155186","件","1151274293","千克","3,080,102,960",
"502","美国","61103000","化纤制针织钩编套头衫、开襟衫、外穿背心等","570137003","件","203493097","千克","3,074,914,517",
"502","美国","95051000","圣诞节用品","330613046","千克","0","?","3,037,577,656",
"502","美国","24041200","其他含尼古丁的非经燃烧吸用的产品","74535607","千克","0","?","2,974,848,284",
"502","美国","94036099","未列名木家具","76292018","件","1222327375","千克","2,642,455,367",
"502","美国","84717011","固态硬盘(SSD)","9040141","台","635754","千克","2,603,270,927",
"502","美国","73269090","未列名非工业用钢铁制品","690916782","千克","0","?","2,576,859,697",
"502","美国","42029200","以塑料片或纺织材料作面的其他类似容器","261364469","千克","1265826641","个","2,560,093,941",
"502","美国","94054290","非光伏的且设计为仅使用发光二极管（LED）光源的其他电灯及照明装置","185302064","千克","0","?","2,557,028,931",
"502","美国","63079090","第一分章的未列名制成品，包括服装裁剪样","410352586","千克","4170627819","个","2,551,468,499",
"502","美国","85177950","光通信设备的激光收发模块","1136974","千克","0","?","2,517,091,982",
"502","美国","95045030","其他视频游戏控制器及设备","8883175","台","26576572","千克","2,515,939,072",
