"贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","美元",
"502","美国","84713090","其他重量不超过10千克的便携式自动数据处理设备","80456140","台","163903218","千克","39,509,438,656",
"502","美国","85171210","手持（包括车载）式无线电话机","111270459","台","30962393","千克","39,255,818,087",
"502","美国","84713010","平板电脑","37525777","台","24906045","千克","9,276,607,789",
"502","美国","98040000","低值简易通关商品","1654411246","千克","16206021","?","7,929,116,261",
"502","美国","85437099","未列名具有独立功能的电气设备及装置","911442486","台","102454284","千克","6,583,179,106",
"502","美国","95030089","未列名玩具及模型","6903460034","个","686424141","千克","6,180,024,585",
"502","美国","85176299","其他接收、转换并且发送或再生声音、图像或其他数据用的设备","116764593","台","35888512","千克","6,166,972,998",
"502","美国","39269090","未列名塑料制品","919928390","千克","0","?","5,906,743,778",
"502","美国","84733090","品目8471所列其他机器的零件、附件","113405503","千克","0","?","5,772,871,088",
"502","美国","94054090","未列名电灯及照明装置","434364301","千克","0","?","5,429,960,827",
"502","美国","85076000","锂离子蓄电池","335547964","个","193021076","千克","4,936,145,374",
"502","美国","95051000","圣诞节用品","321128845","千克","0","?","4,907,785,539",
"502","美国","85285212","其他可直接连接品目84.71的自动数据处理设备的彩色液晶监视器","30933714","台","185416961","千克","4,605,308,778",
"502","美国","95045019","与电视接收机配套使用的视频游戏控制器及设备","12170874","台","45300319","千克","4,286,571,550",
"502","美国","86090029","其他40英尺集装箱","751125","个","2787417270","千克","4,116,556,675",
"502","美国","94032000","其他金属家具","119017849","件","1292224736","千克","3,845,268,548",
"502","美国","64041990","橡胶或塑料制外底，纺织材料制鞋面的其他鞋靴","248553211","千克","475605591","双","3,527,061,089",
"502","美国","63079000","6301至6307的未列名制成品，包括服装裁剪样","491936859","千克","19892952410","件","3,504,967,165",
"502","美国","39181090","氯乙烯聚合物制铺地制品","3054717237","千克","0","?","3,456,740,409",
"502","美国","94051000","枝形吊灯及天花板或墙壁上的电气照明装置","188914448","个","250766701","千克","3,299,248,219",
"502","美国","39241000","塑料制餐具及厨房用具","781954408","千克","0","?","3,190,827,265",
"502","美国","61103000","化纤制针织钩编套头衫、开襟衫、外穿背心等","524746628","件","178449258","千克","2,992,613,007",
"502","美国","94036099","未列名木家具","70263973","件","932701142","千克","2,764,057,827",
"502","美国","94016190","其他带软垫的木框架坐具","27441142","个","620133788","千克","2,606,785,069",
"502","美国","64029929","未列名塑料制鞋面的鞋靴","196999363","千克","468952268","双","2,577,898,660",
"502","美国","85176294","无线耳机、无线耳塞","113728330","个","18790614","千克","2,510,421,599",
"502","美国","95069119","其他健身及康复器械","941394305","千克","0","?","2,420,612,893",
"502","美国","94049040","化纤棉填充的其他寝具及类似用品","476780857","千克","0","?","2,349,212,497",
"502","美国","85098090","其他家用电动器具","193652109","台","190457449","千克","2,328,571,987",
"502","美国","73269090","未列名非工业用钢铁制品","575388031","千克","0","?","2,293,815,878",
"502","美国","94052000","电气的台灯、床头灯或落地灯","74021499","台","148700337","千克","2,265,012,529",
"502","美国","94017190","其他带软垫的金属框架坐具","56635470","个","474067272","千克","2,249,235,048",
"502","美国","42029200","以塑料片或纺织材料作面的其他类似容器","232269614","千克","1026627796","个","2,238,854,538",
"502","美国","62046200","棉制女裤","310298613","条","137435329","千克","2,136,280,115",
"502","美国","40151900","硫化橡胶制其他分指、连指及露指手套","142845943","千克","17600847532","双","2,065,266,802",
"502","美国","87082990","车身（包括驾驶室）的未列名零件、附件","224904282","千克","0","?","2,010,328,634",
"502","美国","61102000","棉制针织钩编的套头衫、开襟衫、外穿背心等","315718142","件","117334573","千克","2,006,724,642",
"502","美国","87087091","铝合金制的未列名机动车辆用车轮及其零件、附件","382178329","千克","0","?","1,981,022,646",
"502","美国","90191010","按摩器具","159452262","台","201235002","千克","1,977,938,674",
"502","美国","84714940","系统形式的微型机","2142800","台","22582444","千克","1,958,277,500",
"502","美国","39249000","塑料制其他家庭用具及卫生或盥洗用具","368333985","千克","0","?","1,946,526,000",
"502","美国","85081100","电动真空吸尘器功率≤1500W集尘器容积≤20L","49899249","台","205696829","千克","1,931,748,667",
"502","美国","39262011","聚氯乙烯制手套（分指手套、连指手套等）","262312856","千克","26388936238","双","1,874,206,196",
"502","美国","85044099","未列名静止式变流器","224627316","个","54948121","千克","1,842,067,046",
"502","美国","67042000","人发制假发，胡须，眉毛，睫毛及其他人发制品","5753591","千克","0","?","1,832,804,988",
"502","美国","84717011","固态硬盘(SSD)","7038253","台","459259","千克","1,819,729,699",
"502","美国","85166090","其他电炉；电锅、电热板、加热环、烧烤炉等","56608975","个","397476589","千克","1,798,156,349",
"502","美国","84672990","其他手提式电动工具","37967459","台","112719090","千克","1,795,329,029",
"502","美国","95059000","其他节日或娱乐用品，包括魔术道具等","129636516","千克","0","?","1,780,483,435",
"502","美国","95030083","带动力装置的其他玩具及模型","166776456","个","103966910","千克","1,768,417,948",
"502","美国","67021000","塑料制人造花、叶、果实及其零件和制品","78799390","千克","0","?","1,757,727,981",
"502","美国","85287222","液晶显示器彩色数字电视接收机","9138558","台","71747954","千克","1,735,852,855",
"502","美国","94017900","其他金属框架坐具","124554388","个","528447843","千克","1,733,735,977",
"502","美国","95030060","智力玩具","580328743","套","258419265","千克","1,720,401,390",
"502","美国","95069990","未列名运动或户外游戏用品及设备；游泳池或戏水池","179428301","个","472019017","千克","1,648,122,131",
"502","美国","85285910","其他彩色监视器","6769948","台","43801721","千克","1,637,144,825",
"502","美国","73239300","不锈钢制餐桌、厨房或其他家用器具及其零件","176988742","千克","0","?","1,589,710,812",
"502","美国","64039900","其他橡、塑或再生皮革外底，皮革鞋面的鞋靴","83197827","千克","108580637","双","1,565,319,835",
"502","美国","84818090","龙头、旋塞及类似装置","131823604","套","91225709","千克","1,545,798,832",
"502","美国","87116000","装有驱动电动机的摩托车及脚踏车","9405878","辆","113761816","千克","1,512,643,455",
"502","美国","61046300","合成纤维制针织或钩编的女裤","464867470","条","106098883","千克","1,512,482,958",
"502","美国","84718000","自动数据处理设备的其他部件","15606513","台","12470546","千克","1,504,112,367",
"502","美国","42021290","以塑料或纺织材料作面的提箱、小手袋、公文箱、公文包、书包及类似容器","203865634","千克","270003777","个","1,488,078,921",
"502","美国","61159600","合成纤维制其他袜","4399446358","双","152184686","千克","1,484,826,611",
"502","美国","39264000","塑料制小雕塑品及其他装饰品","210328236","千克","0","?","1,484,131,027",
"502","美国","85439090","品目8543所列其他设备及装置的零件","21172116","千克","0","?","1,455,879,580",
"502","美国","73211100","用气体等燃料的钢铁制家用炊事器具及加热板","458937891","千克","18609626","个","1,454,667,705",
"502","美国","85165000","微波炉","22119436","个","353676626","千克","1,440,370,984",
"502","美国","85167990","未列名电热器具","189982913","个","149377224","千克","1,424,058,637",
"502","美国","95069190","未列名一般体育活动、体操或竞技用品及设备","416995718","千克","0","?","1,406,186,412",
"502","美国","63014000","合成纤维制毯子及旅行毯","301297329","条","272726770","千克","1,393,632,296",
"502","美国","85258013","非特种用途的其他类型电视摄像机","35598888","台","19237475","千克","1,392,533,184",
"502","美国","84714140","微型自动数据处理机","3144257","台","22493478","千克","1,361,681,205",
"502","美国","69111019","其他瓷制餐具","395832545","千克","0","?","1,333,803,454",
"502","美国","95030021","玩具动物","767591549","个","122187649","千克","1,305,134,159",
"502","美国","87083099","未列名机动车辆用其他制动器及其零件","747754256","千克","490099154","个","1,296,838,409",
"502","美国","84818040","其他阀门","315266982","套","133064950","千克","1,289,000,647",
"502","美国","85182200","多喇叭音箱","32990392","个","109094035","千克","1,276,998,254",
"502","美国","69101000","瓷制固定卫生设备","495810954","千克","29905568","件","1,272,008,847",
"502","美国","85371090","其他电气控制或电力分配盘板台等，电压≤1000V","76821332","个","25085470","千克","1,263,994,020",
"502","美国","85177060","光通信设备的激光收发模块","633365","千克","0","?","1,242,931,140",
"502","美国","85444219","其他有接头电导体，额定电压≤80V","35300479","千克","0","?","1,239,989,979",
"502","美国","94016110","皮革或再生皮革面的带软垫的木框架坐具","4710959","个","213588925","千克","1,226,599,161",
"502","美国","76151090","其他铝制餐桌、厨房或其他家用器具及其零件","209302883","千克","0","?","1,216,304,230",
"502","美国","85395010","发光二极管(LED）灯泡","1117694025","只","61613395","千克","1,208,463,597",
"502","美国","44219990","未列名木制品","553827541","千克","0","?","1,189,745,331",
"502","美国","73089000","其他钢铁结构体；钢结构体用部件及加工钢材","586923459","千克","0","?","1,187,298,226",
"502","美国","94013000","可调高度的转动坐具","23007793","个","308929906","千克","1,171,803,539",
"502","美国","71131911","镶嵌钻石的黄金制首饰及其零件","8075474","克","0","?","1,156,695,332",
"502","美国","94039000","家具的零件","387821962","千克","0","?","1,125,750,255",
"502","美国","73239900","其他未搪瓷钢铁餐桌、厨房等家用器具及零件","189899657","千克","0","?","1,125,539,841",
"502","美国","61099090","未列名纺材制针织或钩编Ｔ恤衫、汗衫、背心","402367686","件","61249404","千克","1,118,784,350",
"502","美国","95045099","其他视频游戏控制器及设备","7931569","台","26953482","千克","1,108,677,401",
"502","美国","87089999","品目8701至8704所列其他车辆用未列名零、附件","182828769","千克","0","?","1,088,874,013",
"502","美国","84716071","键盘","65747670","个","42158171","千克","1,069,569,371",
"502","美国","63039200","合纤非针织或钩编的窗帘、帐幔、帘帷及床帷","182565397","千克","0","?","1,066,045,780",
"502","美国","61091000","棉制针织或钩编的Ｔ恤衫、汗衫、背心","395872719","件","58298587","千克","1,055,847,442",
"502","美国","96170019","其他带壳的保温瓶","239626191","个","93732887","千克","1,050,187,912",
"502","美国","63023290","化纤制未列名非针织或钩编床上用织物制品","660460984","条","181629610","千克","1,031,141,217",
"502","美国","84314999","品目8426、8429及8430所列机械的未列名零件","380460751","千克","0","?","1,029,124,072",
"502","美国","84145110","输出功率≤125瓦的吊扇","25141388","台","194042677","千克","1,024,367,305",
"502","美国","85183000","耳机、耳塞（无线耳机、耳塞除外），不论是否装有传声器，由传声器及一个或多个扬声器组成的组合机","244106169","个","23276316","千克","1,020,969,736",
"502","美国","84151010","独立窗式、壁式、置于天花板或地板上的空气调节器","9322560","台","221183777","千克","1,016,391,372",
