表格 1
商品分类,年份,出口(亿美元),进口(亿美元),
97章 艺术品、收藏品及古物,2008,0.16,0.03,
第二十二类 特殊交易品及未分类商品,2008,1.74,0.44,
98章 特殊交易品及未分类商品,2008,1.74,0.44,
总额,2009,2208.02,774.60,
第一类 活动物；动物产品,2009,14.97,16.87,
01章 活动物,2009,0.19,0.33,
02章 肉及食用杂碎,2009,0.06,9.11,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2009,12.78,5.49,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2009,0.08,1.03,
05章 其他动物产品,2009,1.86,0.91,
第二类 植物产品,2009,7.72,98.72,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2009,0.11,0.03,
07章 食用蔬菜、根及块茎,2009,3.60,0.18,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2009,1.13,2.86,
09章 咖啡、茶、马黛茶及调味香料,2009,0.10,0.08,
10章 谷物,2009,0.00,0.95,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2009,0.09,0.05,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2009,0.91,94.17,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2009,0.72,0.20,
"14章 编结用植物材料；其他
植物产品",2009,0.05,0.19,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2009,0.38,0.59,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2009,0.38,0.59,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2009,23.51,7.72,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2009,7.40,0.02,
17章 糖及糖食,2009,1.47,0.26,
18章 可可及可可制品,2009,0.15,0.27,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2009,0.91,0.24,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2009,8.69,1.27,
21章 杂项食品,2009,1.20,1.02,
22章 饮料、酒及醋,2009,0.24,0.39,
"23章 食品工业的残渣及废料；配制
的动物饲料",2009,3.35,3.13,
24章 烟草及烟草代用品的制品,2009,0.11,1.12,
第五类 矿产品,2009,8.90,19.02,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2009,1.91,1.94,
26章 矿砂、矿渣及矿灰,2009,0.03,9.97,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2009,6.96,7.11,
"第六类 化学工业及其相关工业的
产品",2009,68.21,78.64,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2009,7.45,8.89,
29章 有机化学品,2009,34.93,24.78,
30章 药品,2009,7.90,7.98,
31章 肥料,2009,1.13,0.82,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2009,2.37,3.06,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2009,4.67,2.03,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2009,1.72,3.97,
"35章 蛋白类物质；改性淀粉；
胶；酶",2009,1.47,2.18,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2009,1.82,0.22,
37章 照相及电影用品,2009,0.30,3.99,
38章 杂项化学产品,2009,4.48,20.71,
"第七类 塑料及其制品，橡胶及其
制品",2009,83.84,59.52,
39章 塑料及其制品,2009,57.59,51.67,
40章 橡胶及其制品,2009,26.25,7.84,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2009,38.30,8.30,
41章 生皮(毛皮除外)及皮革,2009,0.13,8.06,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2009,37.96,0.05,
43章 毛皮、人造毛皮及其制品,2009,0.21,0.20,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2009,22.35,5.23,
44章 木及木制品；木炭,2009,19.39,5.23,
45章 软木及软木制品,2009,0.05,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2009,2.91,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2009,21.19,32.76,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2009,0.05,24.91,
"48章 纸及纸板；纸浆、纸或纸板
制品",2009,13.88,5.99,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2009,7.26,1.87,
第十一类 纺织原料及纺织制品,2009,245.85,17.13,
50章 蚕丝,2009,0.31,0.00,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2009,0.18,0.14,
52章 棉花,2009,2.02,8.81,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2009,0.15,0.01,
54章 化学纤维长丝,2009,2.12,0.65,
55章 化学纤维短纤,2009,3.20,4.06,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2009,2.51,1.92,
"57章 地毯及纺织材料的其他
铺地制品",2009,2.79,0.16,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2009,2.44,0.15,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2009,2.22,0.71,
60章 针织物及钩编织物,2009,2.82,0.14,
61章 针织或钩编的服装及衣着附件,2009,84.79,0.07,
"62章 非针织或非钩编的服装及
衣着附件",2009,95.72,0.08,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2009,44.60,0.23,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2009,105.80,0.77,
64章 鞋靴、护腿和类似品及其零件,2009,88.11,0.69,
65章 帽类及其零件,2009,6.11,0.01,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2009,2.51,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2009,9.07,0.08,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2009,25.87,5.28,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2009,4.39,0.84,
69章 陶瓷产品,2009,11.00,0.53,
70章 玻璃及其制品,2009,10.48,3.91,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2009,14.40,1.57,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2009,14.40,1.57,
第十五类 贱金属及其制品,2009,119.55,54.93,
72章 钢铁,2009,4.24,20.28,
73章 钢铁制品,2009,53.27,9.69,
74章 铜及其制品,2009,4.31,10.06,
75章 镍及其制品,2009,0.32,1.65,
76章 铝及其制品,2009,20.25,7.98,
78章 铅及其制品,2009,0.01,0.07,
79章 锌及其制品,2009,0.40,0.21,
80章 锡及其制品,2009,0.20,0.05,
81章 其他贱金属、金属陶瓷及其制品,2009,2.88,1.83,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2009,15.49,2.03,
83章 贱金属杂项制品,2009,18.17,1.09,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2009,1046.88,222.66,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2009,537.00,102.91,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2009,509.88,119.75,
"第十七类 车辆、航空器、船舶及
有关运输设备",2009,63.13,85.61,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2009,5.04,2.74,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2009,52.26,29.51,
88章 航空器、航天器及其零件,2009,2.78,53.26,
89章 船舶及浮动结构体,2009,3.05,0.09,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2009,57.79,57.13,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2009,51.27,57.00,
91章 钟表及其零件,2009,3.30,0.07,
92章 乐器及其零件、附件,2009,3.22,0.06,
"第十九类 武器、弹药及其零件、
附件",2009,0.40,0.00,
93章 武器、弹药及其零件、附件,2009,0.40,0.00,
第二十类 杂项制品,2009,237.07,1.88,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2009,125.49,1.12,
"95章 玩具、游戏品、运动用品及
其零件、附件",2009,97.86,0.43,
96章 杂项制品,2009,13.72,0.33,
第二十一类 艺术品、收藏品及古物,2009,0.11,0.02,
97章 艺术品、收藏品及古物,2009,0.11,0.02,
第二十二类 特殊交易品及未分类商品,2009,1.81,0.26,
98章 特殊交易品及未分类商品,2009,1.81,0.26,
总额,2010,2832.87,1020.99,
第一类 活动物；动物产品,2010,19.63,14.76,
01章 活动物,2010,0.20,0.34,
02章 肉及食用杂碎,2010,0.05,4.05,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2010,16.92,7.20,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2010,0.08,1.79,
05章 其他动物产品,2010,2.37,1.37,
第二类 植物产品,2010,9.89,123.63,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2010,0.13,0.05,
07章 食用蔬菜、根及块茎,2010,5.13,0.38,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2010,1.09,3.85,
09章 咖啡、茶、马黛茶及调味香料,2010,1.71,0.11,
10章 谷物,2010,0.00,3.80,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2010,0.13,0.06,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2010,0.84,114.99,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2010,0.79,0.21,
"14章 编结用植物材料；其他
植物产品",2010,0.08,0.18,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2010,0.57,2.80,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2010,0.57,2.80,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2010,26.90,15.57,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2010,8.55,0.04,
17章 糖及糖食,2010,1.48,0.40,
18章 可可及可可制品,2010,0.08,0.33,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2010,1.17,0.34,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2010,9.77,1.70,
21章 杂项食品,2010,1.28,1.32,
22章 饮料、酒及醋,2010,0.22,0.48,
"23章 食品工业的残渣及废料；配制
的动物饲料",2010,4.27,9.42,
24章 烟草及烟草代用品的制品,2010,0.07,1.55,
第五类 矿产品,2010,12.27,33.35,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2010,3.35,2.52,
26章 矿砂、矿渣及矿灰,2010,0.24,14.40,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2010,8.68,16.43,
"第六类 化学工业及其相关工业的
产品",2010,91.55,109.07,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2010,11.34,16.03,
29章 有机化学品,2010,44.80,35.07,
30章 药品,2010,9.40,10.48,
31章 肥料,2010,3.13,1.23,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2010,3.60,4.09,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2010,5.90,2.42,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2010,2.33,5.52,
"35章 蛋白类物质；改性淀粉；
胶；酶",2010,2.05,3.45,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2010,1.80,0.34,
37章 照相及电影用品,2010,0.64,4.29,
38章 杂项化学产品,2010,6.54,26.14,
"第七类 塑料及其制品，橡胶及其
制品",2010,104.82,73.88,
39章 塑料及其制品,2010,73.98,62.98,
40章 橡胶及其制品,2010,30.84,10.90,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2010,55.93,11.06,
41章 生皮(毛皮除外)及皮革,2010,0.19,10.79,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2010,55.45,0.06,
43章 毛皮、人造毛皮及其制品,2010,0.29,0.22,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2010,27.66,11.87,
44章 木及木制品；木炭,2010,24.44,11.86,
45章 软木及软木制品,2010,0.04,0.01,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2010,3.18,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2010,24.37,44.97,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2010,0.08,35.19,
"48章 纸及纸板；纸浆、纸或纸板
制品",2010,15.78,7.28,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2010,8.51,2.49,
第十一类 纺织原料及纺织制品,2010,314.41,30.58,
50章 蚕丝,2010,0.36,0.00,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2010,0.26,0.17,
52章 棉花,2010,2.92,20.44,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2010,0.23,0.00,
54章 化学纤维长丝,2010,3.13,1.02,
55章 化学纤维短纤,2010,4.26,4.70,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2010,3.69,2.20,
"57章 地毯及纺织材料的其他
铺地制品",2010,3.30,0.23,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2010,2.96,0.19,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2010,3.42,0.97,
60章 针织物及钩编织物,2010,4.53,0.19,
61章 针织或钩编的服装及衣着附件,2010,112.45,0.10,
"62章 非针织或非钩编的服装及
衣着附件",2010,116.32,0.11,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2010,56.60,0.26,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2010,133.20,0.92,
64章 鞋靴、护腿和类似品及其零件,2010,109.94,0.86,
65章 帽类及其零件,2010,8.03,0.01,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2010,3.30,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2010,11.93,0.05,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2010,38.38,8.82,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2010,5.34,1.33,
69章 陶瓷产品,2010,17.78,0.83,
70章 玻璃及其制品,2010,15.26,6.66,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2010,20.53,2.59,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2010,20.53,2.59,
第十五类 贱金属及其制品,2010,150.18,65.13,
72章 钢铁,2010,9.58,9.39,
73章 钢铁制品,2010,62.98,9.39,
74章 铜及其制品,2010,4.61,25.24,
75章 镍及其制品,2010,0.56,1.73,
76章 铝及其制品,2010,25.19,12.65,
78章 铅及其制品,2010,0.01,0.03,
79章 锌及其制品,2010,0.39,0.43,
80章 锡及其制品,2010,0.26,0.08,
81章 其他贱金属、金属陶瓷及其制品,2010,4.51,1.87,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2010,20.36,2.96,
83章 贱金属杂项制品,2010,21.73,1.35,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2010,1328.67,287.10,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2010,716.40,135.59,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2010,612.27,151.51,
"第十七类 车辆、航空器、船舶及
有关运输设备",2010,104.37,104.29,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2010,25.56,2.51,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2010,73.04,42.76,
88章 航空器、航天器及其零件,2010,4.19,58.77,
89章 船舶及浮动结构体,2010,1.59,0.26,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2010,76.57,70.06,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2010,68.18,69.90,
91章 钟表及其零件,2010,4.40,0.06,
92章 乐器及其零件、附件,2010,3.98,0.10,
"第十九类 武器、弹药及其零件、
附件",2010,0.61,0.01,
93章 武器、弹药及其零件、附件,2010,0.61,0.01,
第二十类 杂项制品,2010,290.47,3.04,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2010,159.13,1.72,
"95章 玩具、游戏品、运动用品及
其零件、附件",2010,114.54,0.76,
96章 杂项制品,2010,16.79,0.55,
第二十一类 艺术品、收藏品及古物,2010,0.39,0.04,
97章 艺术品、收藏品及古物,2010,0.39,0.04,
第二十二类 特殊交易品及未分类商品,2010,1.51,7.46,
98章 特殊交易品及未分类商品,2010,0.00,0.00,
总额,2011,3244.53,1221.07,
第一类 活动物；动物产品,2011,20.73,29.55,
01章 活动物,2011,0.19,0.54,
02章 肉及食用杂碎,2011,0.04,13.59,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2011,17.81,11.27,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2011,0.12,2.93,
05章 其他动物产品,2011,2.57,1.21,
第二类 植物产品,2011,11.78,141.55,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2011,0.16,0.05,
07章 食用蔬菜、根及块茎,2011,5.84,0.30,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2011,1.21,5.00,
09章 咖啡、茶、马黛茶及调味香料,2011,1.86,0.14,
10章 谷物,2011,0.01,7.16,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2011,0.17,0.17,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2011,1.08,128.03,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2011,1.37,0.29,
"14章 编结用植物材料；其他
植物产品",2011,0.08,0.42,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2011,0.76,3.21,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2011,0.76,3.21,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2011,32.87,15.37,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2011,10.58,0.07,
17章 糖及糖食,2011,1.77,0.67,
18章 可可及可可制品,2011,0.07,0.53,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2011,1.36,0.65,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2011,12.04,1.81,
21章 杂项食品,2011,1.75,1.66,
22章 饮料、酒及醋,2011,0.32,0.73,
"23章 食品工业的残渣及废料；配制
的动物饲料",2011,4.93,8.06,
24章 烟草及烟草代用品的制品,2011,0.06,1.18,
第五类 矿产品,2011,15.60,43.24,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2011,4.80,2.59,
26章 矿砂、矿渣及矿灰,2011,0.12,17.33,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2011,10.67,23.32,
"第六类 化学工业及其相关工业的
产品",2011,115.96,125.70,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2011,20.46,16.79,
29章 有机化学品,2011,55.32,39.99,
30章 药品,2011,9.17,14.19,
31章 肥料,2011,1.36,0.59,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2011,4.54,4.32,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2011,6.92,2.62,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2011,3.08,6.77,
"35章 蛋白类物质；改性淀粉；
胶；酶",2011,2.34,3.82,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2011,2.10,0.41,
37章 照相及电影用品,2011,0.62,4.41,
38章 杂项化学产品,2011,10.06,31.78,
"第七类 塑料及其制品，橡胶及其
制品",2011,134.06,80.14,
39章 塑料及其制品,2011,94.62,66.76,
40章 橡胶及其制品,2011,39.44,13.38,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2011,71.61,14.26,
41章 生皮(毛皮除外)及皮革,2011,0.18,13.87,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2011,71.04,0.12,
43章 毛皮、人造毛皮及其制品,2011,0.40,0.28,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2011,28.43,20.33,
44章 木及木制品；木炭,2011,24.77,20.32,
45章 软木及软木制品,2011,0.05,0.00,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2011,3.61,0.00,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2011,30.78,59.14,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2011,0.19,46.60,
"48章 纸及纸板；纸浆、纸或纸板
制品",2011,21.64,9.31,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2011,8.94,3.23,
第十一类 纺织原料及纺织制品,2011,350.45,41.77,
50章 蚕丝,2011,0.47,0.01,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2011,0.46,0.12,
52章 棉花,2011,2.93,30.18,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2011,0.33,0.00,
54章 化学纤维长丝,2011,4.39,1.19,
55章 化学纤维短纤,2011,5.37,5.82,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2011,4.63,2.22,
"57章 地毯及纺织材料的其他
铺地制品",2011,4.45,0.24,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2011,3.69,0.17,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2011,4.25,1.04,
60章 针织物及钩编织物,2011,5.55,0.19,
61章 针织或钩编的服装及衣着附件,2011,132.13,0.10,
"62章 非针织或非钩编的服装及
衣着附件",2011,122.43,0.13,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2011,59.37,0.35,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2011,149.89,0.91,
64章 鞋靴、护腿和类似品及其零件,2011,119.35,0.83,
65章 帽类及其零件,2011,10.19,0.01,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2011,3.91,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2011,16.45,0.07,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2011,52.46,12.46,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2011,8.76,1.52,
69章 陶瓷产品,2011,24.70,1.11,
70章 玻璃及其制品,2011,19.01,9.82,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2011,21.79,4.40,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2011,21.79,4.40,
第十五类 贱金属及其制品,2011,178.61,83.52,
72章 钢铁,2011,15.11,17.07,
73章 钢铁制品,2011,80.00,10.37,
74章 铜及其制品,2011,4.77,30.77,
75章 镍及其制品,2011,0.63,2.00,
76章 铝及其制品,2011,19.08,15.63,
78章 铅及其制品,2011,0.01,0.02,
79章 锌及其制品,2011,0.30,0.42,
80章 锡及其制品,2011,0.15,0.06,
81章 其他贱金属、金属陶瓷及其制品,2011,5.83,1.71,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2011,24.99,3.72,
83章 贱金属杂项制品,2011,27.75,1.73,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2011,1499.80,294.39,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2011,820.18,155.27,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2011,679.62,139.12,
"第十七类 车辆、航空器、船舶及
有关运输设备",2011,126.29,123.96,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2011,31.84,1.49,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2011,85.27,67.04,
88章 航空器、航天器及其零件,2011,5.24,54.97,
89章 船舶及浮动结构体,2011,3.94,0.46,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2011,82.32,83.42,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2011,72.50,83.26,
91章 钟表及其零件,2011,5.58,0.06,
92章 乐器及其零件、附件,2011,4.25,0.11,
"第十九类 武器、弹药及其零件、
附件",2011,0.70,0.00,
93章 武器、弹药及其零件、附件,2011,0.70,0.00,
第二十类 杂项制品,2011,316.97,3.52,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2011,175.13,2.45,
"95章 玩具、游戏品、运动用品及
其零件、附件",2011,123.27,0.61,
96章 杂项制品,2011,18.57,0.46,
第二十一类 艺术品、收藏品及古物,2011,0.99,0.07,
97章 艺术品、收藏品及古物,2011,0.99,0.07,
第二十二类 特殊交易品及未分类商品,2011,1.68,40.17,
98章 特殊交易品及未分类商品,2011,1.68,40.17,
总额,2012,3517.77,1328.96,
第一类 活动物；动物产品,2012,19.64,29.85,
01章 活动物,2012,0.17,0.72,
02章 肉及食用杂碎,2012,0.04,13.40,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2012,16.52,11.13,
