表格 1
商品分类,年份,出口(亿美元),进口(亿美元),
"62章 非针织或非钩编的服装及
衣着附件",2004,34.75,0.07,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2004,23.31,0.13,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2004,70.72,0.68,
64章 鞋靴、护腿和类似品及其零件,2004,59.56,0.64,
65章 帽类及其零件,2004,3.45,0.00,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2004,1.61,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2004,6.10,0.04,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2004,17.09,2.63,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2004,2.41,0.63,
69章 陶瓷产品,2004,7.68,0.39,
70章 玻璃及其制品,2004,7.00,1.61,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2004,7.88,0.40,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2004,7.88,0.40,
第十五类 贱金属及其制品,2004,87.35,25.46,
72章 钢铁,2004,11.24,8.79,
73章 钢铁制品,2004,42.09,3.73,
74章 铜及其制品,2004,2.25,6.19,
75章 镍及其制品,2004,0.05,0.39,
76章 铝及其制品,2004,5.34,3.89,
78章 铅及其制品,2004,0.02,0.01,
79章 锌及其制品,2004,0.31,0.27,
80章 锡及其制品,2004,0.61,0.05,
81章 其他贱金属、金属陶瓷及其制品,2004,2.36,0.39,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2004,12.05,1.21,
83章 贱金属杂项制品,2004,11.03,0.55,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2004,566.69,156.94,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2004,300.00,78.75,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2004,266.70,78.19,
"第十七类 车辆、航空器、船舶及
有关运输设备",2004,53.66,31.70,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2004,15.56,0.17,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2004,36.88,5.88,
88章 航空器、航天器及其零件,2004,0.92,25.20,
89章 船舶及浮动结构体,2004,0.30,0.45,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2004,29.34,34.80,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2004,22.67,34.73,
91章 钟表及其零件,2004,3.37,0.03,
92章 乐器及其零件、附件,2004,3.31,0.04,
"第十九类 武器、弹药及其零件、
附件",2004,0.10,0.00,
93章 武器、弹药及其零件、附件,2004,0.10,0.00,
第二十类 杂项制品,2004,146.97,1.21,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2004,76.36,0.72,
"95章 玩具、游戏品、运动用品及
其零件、附件",2004,63.64,0.25,
96章 杂项制品,2004,6.96,0.24,
第二十一类 艺术品、收藏品及古物,2004,0.12,0.01,
97章 艺术品、收藏品及古物,2004,0.12,0.01,
第二十二类 特殊交易品及未分类商品,2004,0.37,0.60,
98章 特殊交易品及未分类商品,2004,0.37,0.60,
总额,2005,1628.91,486.22,
第一类 活动物；动物产品,2005,11.44,7.30,
01章 活动物,2005,0.15,0.17,
02章 肉及食用杂碎,2005,0.07,2.47,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2005,8.53,3.42,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2005,0.28,0.61,
05章 其他动物产品,2005,2.41,0.63,
第二类 植物产品,2005,6.23,34.56,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2005,0.09,0.04,
07章 食用蔬菜、根及块茎,2005,2.09,0.17,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2005,0.61,1.09,
09章 咖啡、茶、马黛茶及调味香料,2005,0.79,0.05,
10章 谷物,2005,0.01,1.04,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2005,0.01,0.04,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2005,0.68,31.99,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2005,0.16,0.11,
"14章 编结用植物材料；其他
植物产品",2005,0.03,0.02,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2005,0.16,0.11,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2005,0.16,0.11,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2005,11.85,3.05,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2005,4.33,0.03,
17章 糖及糖食,2005,0.66,0.17,
18章 可可及可可制品,2005,0.40,0.11,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2005,0.53,0.17,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2005,4.48,0.46,
21章 杂项食品,2005,0.72,0.86,
22章 饮料、酒及醋,2005,0.20,0.18,
"23章 食品工业的残渣及废料；配制
的动物饲料",2005,0.47,0.97,
24章 烟草及烟草代用品的制品,2005,0.06,0.12,
第五类 矿产品,2005,15.93,9.75,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2005,4.97,1.48,
26章 矿砂、矿渣及矿灰,2005,0.05,5.02,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2005,10.91,3.26,
"第六类 化学工业及其相关工业的
产品",2005,44.71,55.36,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2005,6.91,5.89,
29章 有机化学品,2005,18.56,22.17,
30章 药品,2005,3.19,2.12,
31章 肥料,2005,0.31,4.45,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2005,2.68,2.52,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2005,3.89,1.21,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2005,1.23,2.28,
"35章 蛋白类物质；改性淀粉；
胶；酶",2005,0.85,1.20,
"36章 炸药；烟火制品；火柴；
引火合金；易燃材料制品",2005,1.53,0.02,
37章 照相及电影用品,2005,2.35,1.94,
38章 杂项化学产品,2005,3.21,11.55,
"第七类 塑料及其制品，橡胶及其
制品",2005,65.08,32.34,
39章 塑料及其制品,2005,48.15,28.24,
40章 橡胶及其制品,2005,16.93,4.10,
"第八类 生皮、皮革、毛皮及其制品；
鞍具及挽具；旅行用品、手
提包及类似品:动物肠线
(蚕胶丝除外)制品",2005,34.84,8.63,
41章 生皮(毛皮除外)及皮革,2005,0.53,8.43,
"42章 皮革制品；鞍具及挽具；旅行
用品、手提包及类似容器；动
物肠线(蚕胶丝除外)制品",2005,33.65,0.09,
43章 毛皮、人造毛皮及其制品,2005,0.67,0.11,
"第九类 木及木制品；木炭；软木及
软木制品；稻草，秸秆、针
茅或其他编结材料制品；篮
筐及柳条编结品",2005,21.70,4.51,
44章 木及木制品；木炭,2005,19.07,4.49,
45章 软木及软木制品,2005,0.06,0.01,
"46章 稻草、秸秆、针茅或其他编结
材料制品；篮筐及柳条编结品",2005,2.57,0.01,
"第十类 木浆及其他纤维状纤维素
浆；纸及纸板的废碎品；
纸、纸板及其制品",2005,11.56,22.17,
"47章 木浆及其他纤维状纤维素浆；
纸及纸板的废碎品",2005,0.02,15.45,
"48章 纸及纸板；纸浆、纸或纸板
制品",2005,8.26,5.79,
"49章 书籍、报纸、印刷图画及其他
印制品；手稿、打字稿及设计
图纸",2005,3.28,0.92,
第十一类 纺织原料及纺织制品,2005,166.61,21.11,
50章 蚕丝,2005,0.50,0.01,
"51章 羊毛、动物细毛或粗毛；马毛
纱线及其机织物",2005,0.22,0.11,
52章 棉花,2005,2.06,14.76,
"53章 其他植物纺织纤维；纸纱线及
其机织物",2005,0.16,0.00,
54章 化学纤维长丝,2005,2.53,0.72,
55章 化学纤维短纤,2005,2.60,2.83,
"56章 絮胎、毡呢及无纺织物；特种
纱线；线、绳、索、缆及其制品",2005,0.80,1.45,
"57章 地毯及纺织材料的其他
铺地制品",2005,3.12,0.08,
"58章 特种机织物；簇绒织物；花边；
装饰毯；装饰带；刺绣品",2005,1.94,0.12,
"59章 浸渍、涂布、包覆或层压的
纺织物；工业用纺织制品",2005,1.23,0.64,
60章 针织物及钩编织物,2005,1.35,0.07,
61章 针织或钩编的服装及衣着附件,2005,51.17,0.04,
"62章 非针织或非钩编的服装及
衣着附件",2005,66.00,0.08,
"63章 其他纺织制成品；成套物品；
旧衣着及旧纺织品；碎织物",2005,32.90,0.18,
"第十二类 鞋、帽、伞、杖、鞭及其
零件；已加工的羽毛及其
制品；人造花；人发制品",2005,80.36,0.81,
64章 鞋靴、护腿和类似品及其零件,2005,67.82,0.76,
65章 帽类及其零件,2005,4.55,0.01,
"66章 雨伞、阳伞、手杖、鞭子、马
鞭及其零件",2005,1.73,0.00,
"67章 已加工羽毛、羽绒及其制品；
人造花；人发制品",2005,6.25,0.04,
"第十三类 石料、石膏、水泥、石
棉、云母及类似材料的
制品；陶瓷产品；玻璃
及其制品",2005,21.35,2.85,
"68章 石料、石膏、水泥、石棉、
云母及类似材料的制品",2005,3.73,0.73,
69章 陶瓷产品,2005,8.71,0.45,
70章 玻璃及其制品,2005,8.90,1.67,
"第十四类 天然或养殖珍珠、宝石或
半宝石、贵金属、包贵金
属及其制品；仿首饰；
硬币",2005,9.56,0.50,
"71章 天然或养殖珍珠、宝石或半宝
石、贵金属、包贵金属及其制
品；仿首饰；硬币",2005,9.56,0.50,
第十五类 贱金属及其制品,2005,112.78,32.58,
72章 钢铁,2005,10.74,11.49,
73章 钢铁制品,2005,55.87,4.71,
74章 铜及其制品,2005,3.14,7.08,
75章 镍及其制品,2005,0.10,0.81,
76章 铝及其制品,2005,10.01,5.24,
78章 铅及其制品,2005,0.24,0.01,
79章 锌及其制品,2005,0.54,0.33,
80章 锡及其制品,2005,0.44,0.05,
81章 其他贱金属、金属陶瓷及其制品,2005,2.70,0.69,
"82章 贱金属工具、器具、利口器、
餐匙、餐叉及其零件",2005,14.66,1.49,
83章 贱金属杂项制品,2005,14.34,0.68,
"第十六类 机器、机械器具、电气设
备及其零件；录音机及放
声机、电视图像、声音的
录制和重放设备及
其零件、附件",2005,727.50,167.66,
"84章 核反应堆、锅炉、机器、
机械器具及其零件",2005,362.77,82.63,
"85章 电机、电气设备及其零件；录
音机及放声机、电视图像、声
音的录制和重放设备及其零
件、附件",2005,364.72,85.03,
"第十七类 车辆、航空器、船舶及
有关运输设备",2005,66.29,42.83,
"86章 铁道及电车道机车、车辆及其
零件；铁道及电车轨道固定装
置及其零件、附件；各种机械
(包括电动机械)交通信号设备",2005,17.57,0.46,
"87章 车辆及其零件、附件，但铁道
及电车道车辆除外",2005,47.11,8.59,
88章 航空器、航天器及其零件,2005,1.09,33.53,
89章 船舶及浮动结构体,2005,0.53,0.25,
"第十八类 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
钟表；乐器；上述物品
的零件、附件",2005,42.75,38.20,
"90章 光学、照相、电影、计量、
检验、医疗或外科用仪器
及设备、精密仪器及设备；
上述物品的零件、附件",2005,36.31,38.20,
91章 钟表及其零件,2005,2.98,0.04,
92章 乐器及其零件、附件,2005,3.45,0.05,
"第十九类 武器、弹药及其零件、
附件",2005,0.14,0.00,
93章 武器、弹药及其零件、附件,2005,0.14,0.00,
第二十类 杂项制品,2005,178.83,1.44,
"94章 家具；寝具、褥垫、弹簧床垫、
软坐垫及类似的填充制品；未列
名灯具及照明装置；发光标志、
发光名牌及类似品；活动房屋",2005,94.85,0.81,
"95章 玩具、游戏品、运动用品及
其零件、附件",2005,75.23,0.37,
96章 杂项制品,2005,8.75,0.26,
第二十一类 艺术品、收藏品及古物,2005,0.15,0.01,
97章 艺术品、收藏品及古物,2005,0.15,0.01,
第二十二类 特殊交易品及未分类商品,2005,0.88,0.45,
98章 特殊交易品及未分类商品,2005,0.88,0.45,
总额,2006,2034.48,592.11,
第一类 活动物；动物产品,2006,11.51,9.20,
01章 活动物,2006,0.18,0.18,
02章 肉及食用杂碎,2006,0.09,3.57,
"03章 鱼、甲壳动物、软体动物及
其他水生无脊椎动物",2006,8.84,4.07,
"04章 乳品；蛋品；天然蜂蜜；
其他食用动物产品",2006,0.32,0.85,
05章 其他动物产品,2006,2.08,0.53,
第二类 植物产品,2006,6.25,29.94,
"06章 活树及其他活植物；鳞茎、根
及类似品；插花及装饰用簇叶",2006,0.11,0.06,
07章 食用蔬菜、根及块茎,2006,3.27,0.25,
"08章 食用水果及坚果；甜瓜或柑桔
属水果的果皮",2006,0.95,1.13,
09章 咖啡、茶、马黛茶及调味香料,2006,0.75,0.09,
10章 谷物,2006,0.02,0.43,
"11章 制粉工业产品；麦芽；淀粉；
菊粉；面筋",2006,0.06,0.04,
"12章 含油子仁及果实；杂项子仁及
果实；工业用或药用植物；
稻草、秸秆及饲料",2006,0.78,27.70,
"13章 虫胶；树胶、树脂及其他
植物液、汁",2006,0.28,0.17,
"14章 编结用植物材料；其他
植物产品",2006,0.04,0.08,
"第三类 动、植物油、脂及其分解
产品；精制的食用油脂；
动、植物蜡",2006,0.18,0.27,
"15章 动、植物油、脂及其分解产
品；精制的食用油脂；
动、植物蜡",2006,0.18,0.27,
"第四类 食品；饮料、酒及醋；
烟草、烟草及烟草代
用品的制品",2006,19.10,4.34,
"16章 肉、鱼、甲壳动物、软体动物
及其他水生无脊椎动物的制品",2006,8.72,0.05,
17章 糖及糖食,2006,0.75,0.20,
18章 可可及可可制品,2006,0.46,0.15,
"19章 谷物、粮食粉、淀粉或乳的
制品；糕饼点心",2006,0.69,0.20,
"20章 蔬菜、水果、坚果或植物其他
部分的制品",2006,5.41,0.61,
21章 杂项食品,2006,1.04,1.06,
22章 饮料、酒及醋,2006,1.03,0.20,
"23章 食品工业的残渣及废料；配制
的动物饲料",2006,0.95,1.26,
24章 烟草及烟草代用品的制品,2006,0.07,0.63,
第五类 矿产品,2006,21.57,9.34,
"25章 盐；硫磺；泥土及石料；石膏
料、石灰及水泥",2006,7.04,1.49,
26章 矿砂、矿渣及矿灰,2006,0.07,4.96,
"27章 矿物燃料、矿物油及其蒸馏产
品；沥青物质；矿物蜡",2006,14.45,2.89,
"第六类 化学工业及其相关工业的
产品",2006,50.62,60.61,
"28章 无机化学品；贵金属、稀土
金属、放射性元素及其同位
素的有机及无机化合物",2006,8.55,9.44,
29章 有机化学品,2006,21.63,19.39,
30章 药品,2006,2.90,3.13,
31章 肥料,2006,0.75,3.37,
"32章 鞣料浸膏及染料浸膏；鞣酸及
其衍生物；染料、颜料及其他
着色料；油漆及清漆；油灰及
其他类似胶粘剂；墨水、油墨",2006,2.99,3.10,
"33章 精油及香膏；芳香料制品
及化妆盥洗品",2006,4.41,1.37,
"34章 肥皂、有机表面活性剂、洗涤
剂、润滑剂、人造蜡、调制蜡、
光洁剂、蜡烛及类似品、塑型
用膏、“牙科用蜡”及牙科用
熟石膏制剂",2006,1.21,2.84,
"35章 蛋白类物质；改性淀粉；
胶；酶",2006,1.21,1.70,
