CRE_Gdpct(Merge Query)
年度标识,城市名称,城市代码,省份名称,生产总值,年末总人口,人口密度,外商新签合同数,外商协议投资金额,外商实际投资额
2023,大同市,140200,山西省,1871.5307,,,,25624.0000,7022.0000
2023,太原市,140100,山西省,5573.7442,,,,13629.0000,4021.0000
2023,上饶市,361100,江西省,3401.5687,639.5947,,,,
2023,抚州市,361000,江西省,2034.9137,356.2635,,,,
2023,宜春市,360900,江西省,3467.4766,494.4276,,,,
2023,吉安市,360800,江西省,2735.0692,438.6052,,,,
2023,赣州市,360700,江西省,4606.2123,898.9189,,,,
2023,鹰潭市,360600,江西省,1282.2464,115.0853,,,,
2023,新余市,360500,江西省,1261.8869,119.8519,,,,
2023,九江市,360400,江西省,3845.1062,453.6080,,,,
2023,萍乡市,360300,江西省,1151.6562,180.1638,,,,
2023,景德镇市,360200,江西省,1201.1048,161.6697,,,,
2023,南昌市,360100,江西省,7212.8504,656.8194,,,,
2023,大兴安岭地区,232700,黑龙江省,151.8000,30.7702,,,,15.0000
2023,绥化市,231200,黑龙江省,1234.8000,355.9593,,,1402.0000,280.0000
2023,黑河市,231100,黑龙江省,660.6000,122.9630,,,2562.0000,136.0000
2023,牡丹江市,231000,黑龙江省,958.0000,221.5714,,,1313.0000,496.0000
2023,七台河市,230900,黑龙江省,262.9000,65.6819,,,330.0000,300.0000
2023,佳木斯市,230800,黑龙江省,909.3000,207.8590,,,2939.0000,2940.0000
2023,伊春市,230700,黑龙江省,357.7000,81.8495,,,21.0000,67.0000
2023,大庆市,230600,黑龙江省,2862.5000,270.0029,,,11050.0000,2959.0000
2023,双鸭山市,230500,黑龙江省,540.8000,114.6381,,,1075.0000,747.0000
2023,鹤岗市,230400,黑龙江省,383.6000,84.7698,,,597.0000,64.0000
2023,鸡西市,230300,黑龙江省,655.6000,142.1150,,,78.0000,222.0000
2023,齐齐哈尔市,230200,黑龙江省,1327.6000,386.1553,,,2385.0000,1835.0000
2023,哈尔滨市,230100,黑龙江省,5576.3000,977.6318,,,67763.0000,15692.0000
2023,阿拉善盟,152900,内蒙古自治区,404.9000,,,,,
2023,乌海市,150300,内蒙古自治区,713.1000,,,,,
2023,巴彦淖尔市,150800,内蒙古自治区,1161.1000,,,,,
2023,鄂尔多斯市,150600,内蒙古自治区,5849.9000,,,,,
2023,乌兰察布市,150900,内蒙古自治区,1084.6000,,,,,
2023,锡林郭勒盟,152500,内蒙古自治区,1184.8000,,,,,
2023,赤峰市,150400,内蒙古自治区,2197.5000,,,,,
2023,通辽市,150500,内蒙古自治区,1609.0000,,,,,
2023,兴安盟,152200,内蒙古自治区,702.8000,,,,,
2023,呼伦贝尔市,150700,内蒙古自治区,1595.6000,,,,,
2023,包头市,150200,内蒙古自治区,4263.9000,,,,,
2023,呼和浩特市,150100,内蒙古自治区,3801.5000,,,,,
2023,延边朝鲜族自治州,222400,吉林省,875.7626,,,,,
2023,白城市,220800,吉林省,592.6473,,,,,
2023,松原市,220700,吉林省,892.7162,,,,,
2023,白山市,220600,吉林省,553.0802,,,,,
2023,通化市,220500,吉林省,613.9058,,,,,
2023,辽源市,220400,吉林省,516.8783,,,,,
2023,四平市,220300,吉林省,588.8649,,,,,
2023,吉林市,220200,吉林省,1583.7274,,,,,
2023,长春市,220100,吉林省,7002.0570,,,,,
2023,菏泽市,371700,山东省,4464.4900,1019.7700,,,,55433.0000
2023,滨州市,371600,山东省,3118.8500,394.0200,,,,75483.0000
2023,聊城市,371500,山东省,2926.3600,642.1800,,,,56362.0000
2023,德州市,371400,山东省,3805.2700,591.0800,,,,57712.0000
2023,临沂市,371300,山东省,6105.1700,1198.8300,,,,73855.0000
2023,日照市,371100,山东省,2390.8600,308.3600,,,,45816.0000
2023,威海市,371000,山东省,3513.5400,254.3800,,,,79361.0000
2023,泰安市,370900,山东省,3323.8600,562.9600,,,,56973.0000
2023,济宁市,370800,山东省,5516.4700,888.4100,,,,106683.0000
2023,潍坊市,370700,山东省,7606.0100,915.3300,,,,88764.0000
2023,烟台市,370600,山东省,10162.4600,640.4400,,,,231887.0000
2023,东营市,370500,山东省,3899.0600,197.9800,,,,80283.0000
2023,枣庄市,370400,山东省,2156.7400,422.4000,,,,59110.0000
2023,淄博市,370300,山东省,4561.7900,430.8300,,,,62281.0000
2023,青岛市,370200,山东省,15760.3400,854.7800,,,,375300.0000
2023,济南市,370100,山东省,12757.4200,825.3000,,,,247773.0000
2023,恩施土家族苗族自治州,422800,湖北省,1481.2942,398.6460,,,,
2023,随州市,421300,湖北省,1330.8489,241.4398,,,,
2023,咸宁市,421200,湖北省,1819.2341,302.8196,,,,
2023,黄冈市,421100,湖北省,2884.6837,717.5819,,,,
2023,荆州市,421000,湖北省,3151.4858,620.3664,,,,
2023,孝感市,420900,湖北省,2919.8519,497.2940,,,,
2023,荆门市,420800,湖北省,2272.2960,282.7132,,,,
2023,鄂州市,420700,湖北省,1266.0295,110.1052,,,,
2023,襄阳市,420600,湖北省,5842.9052,583.6568,,,,
2023,宜昌市,420500,湖北省,5756.3511,385.1137,,,,
2023,十堰市,420300,湖北省,2359.0299,338.0993,,,,
2023,黄石市,420200,湖北省,2108.9610,273.0276,,,,
2023,武汉市,420100,湖北省,20011.6501,949.5183,,,,
2023,黄山市,341000,安徽省,1046.3000,131.6000,,22.0000,28665.0000,6989.0000
2023,安庆市,340800,安徽省,2878.2900,411.7000,,29.0000,132767.0000,42447.0000
2023,池州市,341700,安徽省,1112.1800,132.3000,,16.0000,69590.0000,11148.0000
2023,铜陵市,340700,安徽省,1229.8300,130.1000,,23.0000,27518.0000,14291.0000
2023,宣城市,341800,安徽省,1951.9100,248.7000,,23.0000,89332.0000,28388.0000
2023,芜湖市,340200,安徽省,4741.0700,375.6000,,80.0000,377777.0000,183545.0000
2023,马鞍山市,340500,安徽省,2590.5500,219.1000,,46.0000,256278.0000,122820.0000
2023,六安市,341500,安徽省,2113.4100,434.3000,,25.0000,131503.0000,20978.0000
2023,滁州市,341100,安徽省,3782.0100,405.5000,,42.0000,179033.0000,132123.0000
2023,淮南市,340400,安徽省,1601.5600,301.6000,,14.0000,339495.0000,47983.0000
2023,阜阳市,341200,安徽省,3323.6900,808.4000,,23.0000,117650.0000,45263.0000
2023,蚌埠市,340300,安徽省,2115.9300,326.2000,,20.0000,50148.0000,16480.0000
2023,宿州市,341300,安徽省,2291.4600,526.3000,,12.0000,48105.0000,10517.0000
2023,亳州市,341600,安徽省,2215.8000,490.1000,,15.0000,46630.0000,18801.0000
2023,淮北市,340600,安徽省,1365.5200,194.4000,,7.0000,10946.0000,29509.0000
2023,合肥市,340100,安徽省,12673.7800,985.3000,,205.0000,828094.0000,723068.0000
2023,天津市,120000,天津市,16737.3028,1176.2600,986.0000,614.0000,,577465.3518
2023,宿迁市,321300,江苏省,4398.0700,585.4100,583.9395,,,47294.0000
2023,泰州市,321200,江苏省,6731.6600,484.1300,778.6800,,,92907.0000
2023,镇江市,321100,江苏省,5264.0700,265.0000,840.1042,,,42622.0000
2023,扬州市,321000,江苏省,7423.2600,445.0400,695.6456,,,122029.0000
2023,盐城市,320900,江苏省,7403.8700,789.0900,377.5257,,,93814.0000
2023,淮安市,320800,江苏省,5015.0600,547.3200,452.4427,,,54920.0000
2023,连云港市,320700,江苏省,4363.6100,528.6700,602.4084,,,43631.0000
2023,南通市,320600,江苏省,11813.2700,740.1200,737.4607,,,199049.0000
2023,苏州市,320500,江苏省,24653.3700,786.2200,1496.8234,,,690482.0000
2023,常州市,320400,江苏省,10116.3600,389.3400,1229.4145,,,206377.0000
2023,徐州市,320300,江苏省,8900.4400,1029.3600,766.6808,,,35039.0000
2023,无锡市,320200,江苏省,15456.1900,520.9500,1619.8401,,,412009.0000
