"Staper","Fresgn","Datasgn","Eftm0101","Eftm0102","Eftm0103","Eftm0106","Eftm0107","Eftm0108","Eftm0109"
"1999-08","M","A","31771807","13446470","18325337","","","",""
"1999-09","M","A","33844262","15267999","18576263","","","",""
"1999-09","M","B","254604868","117608974","136995894","","","",""
"1999-10","M","B","286609803","131389864","155219939","","","",""
"1999-10","M","A","32024672","13792756","18231917","","","",""
"1999-11","M","B","322995033","148298492","174696541","","","",""
"1999-11","M","A","36385253","16908628","19476625","","","",""
"1999-12","M","B","360649443","165718009","194931434","","","",""
"1999-12","M","A","37661049","17422392","20238657","","","",""
"2000-01","M","B","32055670","15258393","16797277","","","",""
"2000-01","M","A","32055670","15258393","16797277","","","",""
"2000-02","M","A","28203989","13428609","14775380","","","",""
"2000-02","M","B","60259673","28687151","31572521","","","",""
"2000-03","M","A","37960060","17813579","20146482","","","",""
"2000-03","M","B","98216340","46500753","51715587","","","",""
"2000-04","M","B","137075023","64859816","72215207","","","",""
"2000-04","M","A","38861187","18360795","20500392","","","",""
"2000-05","M","B","174109571","81825698","92283873","","","",""
"2000-05","M","A","37071604","16966429","20105176","","","",""
"2000-06","M","A","42494372","20301402","22192970","","","",""
"2000-06","M","B","216602420","102126812","114475608","","","",""
"2000-07","M","B","257565097","121613083","135952014","","","",""
"2000-07","M","A","40970137","19491628","21478509","","","",""
"2000-08","M","A","44116925","20787740","23329185","","","",""
"2000-08","M","B","301737337","142394118","159343218","","","",""
"2000-09","M","B","345412360","163105004","182307356","","","",""
"2000-09","M","A","43688324","20715034","22973290","","","",""
"2000-10","M","B","387132713","182018645","205114068","","","",""
"2000-10","M","A","41716375","18916401","22799974","","","",""
"2000-11","M","B","430923768","203684423","227239345","","","",""
"2000-11","M","A","43795763","21640881","22154881","","","",""
"2000-12","M","A","43400399","21414250","21986149","","","",""
"2000-12","M","B","474308185","225096566","249211619","","","",""
"2001-01","M","A","32457000","15541000","16916000","2978000","12567000","1715000","15211000"
"2001-01","M","B","32457000","15541000","16916000","2978000","12567000","1715000","15211000"
"2001-02","M","A","37424000","18226000","19199000","3426000","14800000","1981000","17232000"
"2001-02","M","B","69910000","33771000","36139000","6404000","27367000","3696000","32443000"
"2001-03","M","B","113814000","54540000","59274000","10192000","44351000","6275000","52999000"
"2001-03","M","A","43908000","20769000","23139000","3788000","16984000","2579000","20556000"
"2001-04","M","A","44652000","21860000","22792000","4589000","17241000","2122000","20361000"
"2001-04","M","B","158132000","76374000","81757000","14781000","61592000","8397000","73360000"
"2001-05","M","B","197683000","95181000","102502000","18568000","76613000","10477000","92018000"
"2001-05","M","A","39629000","18809000","20821000","3787000","15021000","2080000","18658000"
"2001-06","M","B","241006000","116431000","124574000","22724000","93707000","12492000","112083000"
"2001-06","M","A","43333000","21252000","22081000","4156000","17094000","2015000","20065000"
"2001-07","M","B","284836000","137381000","147455000","26773000","110607000","14815000","132640000"
"2001-07","M","A","43843000","20955000","22888000","4049000","16900000","2323000","20557000"
"2001-08","M","A","45702000","22162000","23540000","4143000","18015000","2059000","21479000"
"2001-08","M","B","330532000","159539000","170994000","30916000","128622000","16874000","154119000"
"2001-09","M","B","376372000","181389000","194983000","34975000","146380000","19088000","175707000"
"2001-09","M","A","45840000","21851000","23989000","4059000","17758000","2214000","21588000"
"2001-10","M","B","417834000","200255000","217579000","38322000","161933000","21138000","196441000"
"2001-10","M","A","41692000","18902000","22791000","3347000","15553000","2050000","20734000"
"2001-11","M","A","44845000","20845000","24000000","3624000","17321000","2403000","21588000"
"2001-11","M","B","462770000","221200000","241570000","41946000","179254000","23541000","218029000"
"2001-12","M","A","46893000","22390000","24503000","3828000","18586000","2812000","21773000"
"2001-12","M","B","509768000","243613000","266155000","45774000","197840000","26353000","239802000"
"2002-01","M","B","40674000","18970000","21703000","3150000","15820000","1787000","19916000"
"2002-01","M","A","40674000","18970000","21703000","3150000","15820000","1787000","19916000"
"2002-02","M","B","75729000","34889000","40840000","5768000","29120000","3568000","37272000"
"2002-02","M","A","35056000","15919000","19137000","2618000","13300000","1781000","17356000"
"2002-03","M","A","46325000","22507000","23818000","3643000","18849000","2118000","21700000"
"2002-03","M","B","122061000","57404000","64658000","9411000","47969000","5686000","58972000"
"2002-04","M","A","52479000","25755000","26725000","4221000","21530000","2370000","24322000"
"2002-04","M","B","174517000","83135000","91382000","13632000","69499000","8056000","83294000"
"2002-05","M","A","47079000","22435000","24644000","3608000","18820000","2012000","32629000"
"2002-05","M","B","221551000","105561000","115991000","17240000","88319000","10068000","115923000"
"2002-06","M","B","270710000","128651000","142059000","21110000","107539000","12274000","129778000"
"2002-06","M","A","49115000","23096000","26019000","3870000","19220000","2206000","13855000"
"2002-07","M","B","326843000","155600000","171243000","25637000","129963000","14754000","156489000"
"2002-07","M","A","56198000","26988000","29210000","4527000","22424000","2480000","26711000"
"2002-08","M","A","56642000","27205000","29437000","4789000","22405000","2397000","27054000"
"2002-08","M","B","383489000","182795000","200694000","30426000","152368000","17151000","183543000"
"2002-09","M","A","61707000","29794000","31913000","4874000","24902000","2629000","29237000"
"2002-09","M","B","445135000","212572000","232564000","35300000","177270000","19780000","212780000"
"2002-10","M","A","55147000","25200000","29946000","4170000","21020000","2480000","27460000"
"2002-10","M","B","500261000","237762000","262499000","39470000","198290000","22260000","240240000"
"2002-11","M","B","560181000","266487000","293694000","44570000","221910000","25250000","268450000"
"2002-11","M","A","59943000","28739000","31205000","5100000","23620000","2990000","28210000"
"2002-12","M","B","620785000","295216000","325569000","49270000","245930000","28480000","297080000"
"2002-12","M","A","60624000","28733000","31891000","4700000","24020000","3230000","28630000"
"2003-01","M","B","60792000","31016000","29776000","5700000","25310000","2370000","27410000"
"2003-01","M","A","60792000","31016000","29776000","5700000","25310000","2370000","27410000"
"2003-02","M","B","109025000","54794000","54231000","10210000","44590000","4820000","49410000"
